county,max_age,r_count,r_rate,n_registered,state
AUTAUGA,99,0.9983322399089947,0.9631439881427325,40007,AL
BALDWIN,99,0.9959973172346496,0.9640286620533244,163315,AL
BARBOUR,100,0.9903270664118174,0.953918361410367,16526,AL
BIBB,99,0.9924870503253405,0.7384071510906298,14185,AL
BLOUNT,99,0.9962638882217816,0.8929607446299647,40111,AL
BULLOCK,99,0.9836623561351016,0.8821725897235215,7052,AL
BUTLER,99,0.9876816229104918,0.877741130422134,13811,AL
CALHOUN,99,0.997739095868139,0.9838852279499926,75901,AL
CHAMBERS,99,0.9948020334251428,0.9393656691449582,24130,AL
CHEROKEE,99,0.9962952949601923,0.9156783292927815,18175,AL
CHILTON,100,0.99646656095425,0.9130859726283032,28418,AL
CHOCTAW,98,0.9920843898012572,0.827257641339406,10345,AL
CLARKE,100,0.996663961524599,0.9363932228232421,18557,AL
CLAY,99,0.9948978163436782,0.8882670296038782,9884,AL
CLEBURNE,99,0.9893438754106578,0.8250538727914316,10553,AL
COFFEE,100,0.995820057533813,0.9468442718275588,33401,AL
COLBERT,100,0.9971684777609969,0.9343081580637839,40816,AL
CONECUH,99,0.9877772479741918,0.8464576826707182,9645,AL
COOSA,100,0.9903477122768284,0.6047106440634138,7918,AL
COVINGTON,99,0.9955480478731354,0.8997424548500177,26184,AL
CRENSHAW,100,0.9916915819141756,0.8428071034704683,9972,AL
CULLMAN,100,0.9969670300707877,0.8228087343124585,59994,AL
DALE,100,0.9868181320817848,0.9191132707950019,31770,AL
DALLAS,99,0.9874318622256786,0.9486416573481358,29854,AL
DEKALB,99,0.99599435555393,0.9243314146822205,42606,AL
ELMORE,99,0.9979581560073723,0.9796455520736242,57059,AL
ESCAMBIA,100,0.9944148356106735,0.8042386968617337,25030,AL
ETOWAH,100,0.9977424842424035,0.9598132244679859,71771,AL
FAYETTE,100,0.9916890448308326,0.859460141014855,12398,AL
FRANKLIN,99,0.9947434268239674,0.9285476194081713,18704,AL
GENEVA,99,0.9942724810786826,0.9234217238235284,18583,AL
GREENE,99,0.9853762125479907,0.6629585289602324,6686,AL
HALE,99,0.9916116557829364,0.8482875734205784,11893,AL
HENRY,99,0.9952473452690648,0.8900764721806389,13224,AL
HOUSTON,100,0.9941521127285805,0.9645563911024808,73758,AL
JACKSON,99,0.9969914112625344,0.9245876594069242,36892,AL
JEFFERSON,100,0.9957504267992828,0.8160065122734107,468738,AL
LAMAR,99,0.9920449151099048,0.6611228706187426,10507,AL
LAUDERDALE,99,0.9981911305111896,0.9634931974163019,63748,AL
LAWRENCE,99,0.9960062335397061,0.8574124961471775,24185,AL
LEE,99,0.9909243739758936,0.9668583229305843,111983,AL
LIMESTONE,99,0.995990832828842,0.9498578780851752,67516,AL
LOWNDES,99,0.9903051598822097,0.8661194294703282,9527,AL
MACON,99,0.8674729538693478,0.7707853970090611,16827,AL
MADISON,100,0.9974584373729634,0.9469260889887884,279402,AL
MARENGO,100,0.9965659904567291,0.9351622535538214,15456,AL
MARION,100,0.9952390705640245,0.9279937582546006,20667,AL
MARSHALL,100,0.9974988248474495,0.9405947533186798,60513,AL
MOBILE,100,0.9970840397196309,0.9512519073182423,293288,AL
MONROE,99,0.9903828803580252,0.9465795983628723,15690,AL
MONTGOMERY,100,0.9948675814388126,0.9545833741367774,152001,AL
MORGAN,99,0.9978599581341168,0.9837535277055686,80876,AL
PERRY,99,0.989507382982589,0.6675717160211626,7786,AL
PICKENS,99,0.9947456659800611,0.9021459544705243,13554,AL
PIKE,99,0.9836177889264072,0.8721708979393897,22017,AL
RANDOLPH,99,0.9927321285583455,0.9431289465213062,17030,AL
RUSSELL,99,0.9823218453432455,0.929182436772712,37556,AL
SHELBY,99,0.9953494539334183,0.9699445481056249,153977,AL
ST. CLAIR,99,0.9966892600980989,0.9266134776886934,64311,AL
SUMTER,99,0.9847361355201875,0.7616655886125842,9537,AL
TALLADEGA,100,0.9945167903794777,0.8274592921721289,56219,AL
TALLAPOOSA,99,0.9969351194674143,0.9732705343708947,30458,AL
TUSCALOOSA,100,0.9943138371598869,0.9611614052519065,139532,AL
WALKER,100,0.9969223448438407,0.9432881603096691,46500,AL
WASHINGTON,99,0.9907725474055961,0.9009231355067469,13149,AL
WILCOX,99,0.988301877324932,0.8873602001099082,8748,AL
WINSTON,99,0.9967571601660858,0.9651114936498186,16246,AL
