county,max_age,r_count,r_rate,n_registered,state
ARKANSAS,99,0.9921122018233661,0.8529020976056602,9161,AR
ASHLEY,99,0.9924410135710949,0.712754012152664,10538,AR
BAXTER,99,0.9983362418235873,0.8363786225336871,26729,AR
BENTON,99,0.994645132075718,0.7873969569918855,152910,AR
BOONE,99,0.9978725359264831,0.843283714484772,22483,AR
BRADLEY,97,0.9885742530502488,0.7134586332151729,4907,AR
CALHOUN,99,0.9794208591453377,0.597148446291784,3119,AR
CARROLL,99,0.996121648999945,0.8088956659001469,15307,AR
CHICOT,99,0.9879888294283841,0.779167942464379,5598,AR
CLARK,99,0.9923815252646581,0.9225596418879759,10907,AR
CLAY,99,0.989955865204785,0.8019157359054696,7016,AR
CLEBURNE,99,0.9970203011082923,0.8665041171227894,16477,AR
CLEVELAND,99,0.9873295492567741,0.6227705671439022,4516,AR
COLUMBIA,99,0.986094645314059,0.8629119432153287,12218,AR
CONWAY,99,0.9944834264307565,0.8226377148146533,11087,AR
CRAIGHEAD,99,0.9982946205300592,0.8552441055685228,53861,AR
CRAWFORD,99,0.996988712388628,0.8098901857495209,32336,AR
CRITTENDEN,99,0.9480465123011866,0.9088943067919638,26160,AR
CROSS,99,0.9952610895910798,0.8543296167179046,9220,AR
DALLAS,98,0.9836235215204479,0.8382714294117928,3813,AR
DESHA,99,0.9755329326928048,0.7211636455926429,6268,AR
DREW,99,0.9856005251463539,0.9124072179220022,10155,AR
FAULKNER,99,0.9951558547190844,0.8176544057366983,70478,AR
FRANKLIN,99,0.9948037398205514,0.8089075569886218,8998,AR
FULTON,99,0.9940195696110744,0.8481113567487868,6768,AR
GARLAND,99,0.9940778887156605,0.8617275328385096,60494,AR
GRANT,99,0.9945650722165175,0.7814088049301818,11060,AR
GREENE,99,0.9933857732451644,0.7239247092025279,21101,AR
HEMPSTEAD,99,0.9945283522311706,0.8988753439345049,9316,AR
HOT SPRING,99,0.9966220448157614,0.9259946385469109,16857,AR
HOWARD,98,0.9890537481434877,0.75898127726279,6689,AR
INDEPENDENCE,99,0.9949382150324884,0.8136874423827061,20341,AR
IZARD,99,0.9904495830365645,0.7189505079337289,7962,AR
JACKSON,99,0.9907309314423982,0.7184226305079364,7237,AR
JEFFERSON,99,0.9547235518094648,0.8505960433583184,40164,AR
JOHNSON,99,0.9869687221641295,0.921062871751668,14673,AR
LAFAYETTE,98,0.947554217028656,0.578852034638566,3837,AR
LAWRENCE,99,0.9877808453321458,0.715912832003936,7883,AR
LEE,99,0.9748103197367115,0.8734058599120462,4334,AR
LINCOLN,99,0.987016299357552,0.8234492920478533,5641,AR
LITTLE RIVER,99,0.9923035071684615,0.8651311352412098,6464,AR
LOGAN,99,0.990328304723433,0.8900915994098388,11338,AR
LONOKE,99,0.9973892166611236,0.8555805050611188,43552,AR
MADISON,99,0.9939146020211047,0.7255482141788645,9561,AR
MARION,99,0.996331386989348,0.8460548919798869,9744,AR
MILLER,99,0.9963177926924061,0.886313247749471,22370,AR
MISSISSIPPI,99,0.9870452680027942,0.7085660521967904,18021,AR
MONROE,99,0.9924426212733458,0.7793743177082135,3802,AR
MONTGOMERY,98,0.9944021085385533,0.7562949317251154,4717,AR
NEVADA,99,0.9239880147946699,0.7140441604701122,5090,AR
NEWTON,99,0.9450527020831259,0.7723197642064845,5638,AR
OUACHITA,99,0.9793586156463654,0.8686457004500882,14530,AR
PERRY,98,0.9928540835052883,0.7015401049646628,5971,AR
PHILLIPS,99,0.9784998342503225,0.9125991730508289,9544,AR
PIKE,98,0.9932070269558779,0.9026830037685999,5319,AR
POINSETT,99,0.991395590922811,0.9038593547144644,11060,AR
POLK,99,0.9959350807710667,0.7172514000888531,10987,AR
POPE,99,0.9980290561726264,0.8289744122230308,31989,AR
PRAIRIE,99,0.9216560800266405,0.47939299530051555,4578,AR
PULASKI,99,0.9989278495592618,0.9855683952062169,229803,AR
RANDOLPH,99,0.9882227228850401,0.8798835142726508,9770,AR
SALINE,99,0.9983690301357969,0.8034936964695549,71635,AR
SCOTT,99,0.9900581224952508,0.766408402919693,4567,AR
SEARCY,99,0.9847553699496338,0.8039082815918515,4970,AR
SEBASTIAN,99,0.9981086435000406,0.9620336753469666,64396,AR
SEVIER,99,0.9895471918737849,0.6911487643279384,7008,AR
SHARP,99,0.9938381024727508,0.8899427776532495,9859,AR
ST. FRANCIS,99,0.987085795109155,0.8744987723044644,10338,AR
STONE,99,0.9957775694685103,0.8279864137597628,7854,AR
UNION,99,0.9911847750501377,0.8924791319414842,24949,AR
VAN BUREN,99,0.9850355580992186,0.6725703500122211,9966,AR
WASHINGTON,99,0.9935158190861703,0.8174959537523484,124813,AR
WHITE,99,0.9980922471893034,0.8375997185898318,40864,AR
WOODRUFF,99,0.981274339371659,0.8060554479640181,4005,AR
YELL,98,0.9926675724557975,0.8484353944774562,9454,AR
