county,max_age,r_count,r_rate,n_registered,state
APACHE,99,0.9798472599925242,0.8290344171044791,51884,AZ
COCHISE,99,0.9936277061862739,0.9819238254761503,77279,AZ
COCONINO,99,0.9968469449659705,0.918838799208471,91560,AZ
GILA,99,0.9975775597143034,0.9195240269580026,33794,AZ
GRAHAM,99,0.9927972140214265,0.8883923402658088,19854,AZ
GREENLEE,99,0.9778711325142698,0.769490464091527,4753,AZ
LA PAZ,99,0.994849372753569,0.8697248795868143,10641,AZ
MARICOPA,99,0.9990999320455805,0.7190868576202708,2572737,AZ
MOHAVE,99,0.9973999063663656,0.9803620768578302,135020,AZ
NAVAJO,99,0.989868984056847,0.9266855932910965,70375,AZ
PIMA,99,0.9993420472875639,0.9897050679495302,653974,AZ
PINAL,99,0.996611317622748,0.9619279756398705,244167,AZ
SANTA CRUZ,99,0.9753464429840097,0.9264585050997413,28727,AZ
YAVAPAI,99,0.9996451987117101,0.9747971614569423,165819,AZ
YUMA,99,0.9836523199511965,0.9189840404199267,102698,AZ
