county,max_age,r_count,r_rate,n_registered,state
ALAMEDA,100,0.9971683489053488,0.7237675408079095,938462,CA
ALPINE,97,0.9827831390466575,0.5264561643401184,852,CA
AMADOR,99,0.9984903335157321,0.8022448740291248,25791,CA
BUTTE,99,0.9979719844502907,0.7332974149599171,123164,CA
CALAVERAS,99,0.998653755417289,0.7890664397115055,31829,CA
COLUSA,99,0.9930032670654414,0.6688099173573626,9951,CA
CONTRA COSTA,100,0.9976402696765634,0.6538653146172261,699665,CA
DEL NORTE,99,0.9907481264771405,0.8393452196143908,14115,CA
EL DORADO,99,0.9990493745380683,0.7517448658573402,135786,CA
FRESNO,100,0.9940905169738278,0.7435814035443653,498814,CA
GLENN,99,0.9930516216570938,0.726958685616119,14438,CA
HUMBOLDT,99,0.9973707839022692,0.7286629739549646,84720,CA
IMPERIAL,99,0.9891093648843601,0.8694538182999187,85199,CA
INYO,99,0.9962035119678457,0.7861526098585256,10983,CA
KERN,99,0.9922652630278178,0.8544534695870726,423392,CA
KINGS,99,0.9928526299625243,0.8493398887335388,60362,CA
LAKE,99,0.9939501787868432,0.7995237944671764,36840,CA
LASSEN,99,0.9938432788780677,0.861184096793127,15140,CA
LOS ANGELES,100,0.9976629796207297,0.7697223453055646,5635546,CA
MADERA,99,0.9894541839971367,0.8106030768564607,69591,CA
MARIN,99,0.9971100344304361,0.662677023535696,173159,CA
MARIPOSA,99,0.9979791615910075,0.6570137094077875,11764,CA
MENDOCINO,99,0.9964350796703038,0.7993489877403049,53205,CA
MERCED,99,0.994496251364914,0.7981867482124353,120820,CA
MODOC,99,0.994679545726707,0.5160220200038578,5187,CA
MONO,99,0.996300399002087,0.6042890050353767,7838,CA
MONTEREY,99,0.9966798497327785,0.8140581925096554,207787,CA
NAPA,99,0.9974148785205192,0.7241915971013952,83399,CA
NEVADA,99,0.9992748736915847,0.7405228384918153,73820,CA
ORANGE,99,0.9977807645098817,0.6860598019138422,1783197,CA
PLACER,99,0.9980819051063277,0.7734442476882857,271350,CA
PLUMAS,99,0.9968803376517893,0.7812121712197952,13486,CA
RIVERSIDE,99,0.9964420844838471,0.7873962134611401,1264465,CA
SACRAMENTO,99,0.9991507033073797,0.7116227022951167,850881,CA
SAN BENITO,99,0.9979317286545627,0.779325972254326,36117,CA
SAN BERNARDINO,99,0.9947445810594409,0.8287133393604339,1121235,CA
SAN DIEGO,99,0.9986916112963985,0.7364139381119087,1916262,CA
SAN FRANCISCO,99,0.993988479222946,0.5599489349106631,502029,CA
SAN JOAQUIN,99,0.9967427300672667,0.8158488156368732,362830,CA
SAN LUIS OBISPO,100,0.9979753277224619,0.6140934058459344,182406,CA
SAN MATEO,99,0.9960167673896825,0.6470497766548339,434505,CA
SANTA BARBARA,99,0.9973749123610007,0.7275103871162834,236123,CA
SANTA CLARA,99,0.9968769146002786,0.6751188663734137,996938,CA
SANTA CRUZ,99,0.9976992994684766,0.7113014280483994,167424,CA
SHASTA,99,0.9966938521303313,0.7709518829137013,111114,CA
SIERRA,96,0.9949791408157482,0.7440610724338297,2238,CA
SISKIYOU,99,0.9957434149350454,0.7453327875621707,28872,CA
SOLANO,99,0.9982064027019361,0.7960119362113922,258070,CA
SONOMA,99,0.998419566025691,0.6627685573704981,300784,CA
STANISLAUS,99,0.9943238805494818,0.7948389717230844,280396,CA
SUTTER,99,0.9966629796404252,0.6857091090187407,52234,CA
TEHAMA,99,0.9939151513097241,0.824984908552888,36725,CA
TRINITY,99,0.9940791945870232,0.7113060683433049,7505,CA
TULARE,99,0.98708238125915,0.8708741027263525,202362,CA
TUOLUMNE,99,0.998453693445091,0.7424313947940683,35264,CA
VENTURA,99,0.9988869933485922,0.7333339195591404,502296,CA
YOLO,99,0.9948741188140636,0.6762009361419098,116970,CA
YUBA,99,0.993062802064373,0.8222409428655365,39981,CA
