county,max_age,r_count,r_rate,n_registered,state
ADAMS,99,0.9980162803655338,0.8807584381184947,289021,CO
ALAMOSA,99,0.9913429786409411,0.797962025483889,9548,CO
ARAPAHOE,99,0.9976769761538925,0.8544091137253811,406440,CO
ARCHULETA,98,0.9972065713619142,0.7914125932340236,10391,CO
BACA,98,0.9849029021697717,0.7745378912612011,2569,CO
BENT,99,0.981543677920096,0.7732802306584682,2812,CO
BOULDER,99,0.9942993210030056,0.763996798098228,223622,CO
BROOMFIELD,99,0.9959227482623878,0.7447378215342448,50410,CO
CHAFFEE,99,0.9987487894005734,0.7902454951568476,15094,CO
CHEYENNE,98,0.9842032306972274,0.5732579811354779,1227,CO
CLEAR CREEK,99,0.998192008487681,0.7400331889178061,7388,CO
CONEJOS,99,0.992613694362198,0.7211626265736419,5169,CO
COSTILLA,99,0.984417183600794,0.7624912775115625,2660,CO
CROWLEY,99,0.9830484100561152,0.7682324478328882,2121,CO
CUSTER,99,0.9978220939761168,0.6929170473494062,4024,CO
DELTA,99,0.9977178712489687,0.7826368045132182,22105,CO
DENVER,100,0.99865066773672,0.729002794534389,449647,CO
DOLORES,99,0.9865022747436286,0.5263528886646709,1611,CO
DOUGLAS,99,0.9954327549453877,0.7625548423782941,254550,CO
EAGLE,99,0.9979053569427532,0.7669243083767504,33403,CO
EL PASO,99,0.994900189613187,0.8900271816608525,447453,CO
ELBERT,99,0.996874467263805,0.7428758432423476,20883,CO
FREMONT,99,0.9967352416948482,0.9092569112254507,29913,CO
GARFIELD,99,0.9962014232558871,0.8444459265301001,36194,CO
GILPIN,97,0.9961069259651817,0.6408172402136991,4663,CO
GRAND,99,0.997282784286547,0.7173736172147368,11379,CO
GUNNISON,100,0.9945991990172642,0.590587267685996,12247,CO
HINSDALE,98,0.9858303353868938,0.464528950102154,671,CO
HUERFANO,99,0.9955590280015849,0.7697283296454831,5143,CO
JACKSON,94,0.9850889576949108,0.5318735331391502,971,CO
JEFFERSON,100,0.99759167720042,0.7521328308172799,417045,CO
KIOWA,98,0.9834131844996598,0.6030479823617045,985,CO
KIT CARSON,99,0.993340586448875,0.7705939400646875,4494,CO
LA PLATA,99,0.9977668849735977,0.857370179259941,40296,CO
LAKE,97,0.9923066334972293,0.7429565451699114,4746,CO
LARIMER,100,0.9965305002072008,0.7520536436530914,249416,CO
LAS ANIMAS,100,0.9901427637473438,0.8030299938141536,9894,CO
LINCOLN,99,0.9914124028857518,0.7828669193469574,2996,CO
LOGAN,100,0.9971184940190858,0.746065110422834,12138,CO
MESA,99,0.9977807508645387,0.856259456099374,104372,CO
MINERAL,99,0.9906105878460517,0.6919350676493281,801,CO
MOFFAT,99,0.9938394585225021,0.834033007055488,8315,CO
MONTEZUMA,100,0.9951015070225117,0.7889346366310163,18231,CO
MONTROSE,99,0.9968770840272719,0.8762493516538816,28533,CO
MORGAN,99,0.9925982062140958,0.8670404163622842,16758,CO
OTERO,99,0.986158715266463,0.8601963333025748,11830,CO
OURAY,99,0.9966397091120404,0.6927328056998764,4325,CO
PARK,99,0.9987439602014848,0.8014083029899326,13851,CO
PHILLIPS,98,0.9867802780578055,0.6834838427838335,2792,CO
PITKIN,99,0.9968470943662787,0.6530341217543615,13341,CO
PROWERS,99,0.984244957700577,0.7843960985581763,6890,CO
PUEBLO,100,0.9882180164415807,0.8581090001012571,109463,CO
RIO BLANCO,100,0.9924067202207391,0.60930334777583,4160,CO
RIO GRANDE,99,0.99398618141533,0.8323557095967712,7485,CO
ROUTT,99,0.9975046183854135,0.7047014194922151,18780,CO
SAGUACHE,99,0.9905210866273353,0.7812406435218482,4214,CO
SAN JUAN,94,0.9767431808208235,0.3969498976250429,619,CO
SAN MIGUEL,98,0.9947920275239092,0.508339578396424,5718,CO
SEDGWICK,99,0.9876668190928632,0.6509354051284371,1661,CO
SUMMIT,99,0.9978498933262965,0.6382101550768937,21027,CO
TELLER,99,0.9988566786524441,0.7503232165695941,18663,CO
WASHINGTON,99,0.9926552270437514,0.6554162532587232,3310,CO
WELD,99,0.9979118807328523,0.8650581346645556,199220,CO
YUMA,99,0.9938294813718073,0.7779747500477375,5695,CO
