county,max_age,r_count,r_rate,n_registered,state
ALACHUA,99,0.987372156733388,0.750796096364404,181267,FL
BAKER,99,0.9947409934854087,0.5234862246884568,17007,FL
BAY,99,0.9971303167719983,0.8666678636422497,120741,FL
BRADFORD,99,0.996821141999809,0.6810524373033281,17502,FL
BREVARD,99,0.9996073009042361,0.8047233256079909,446467,FL
BROWARD,99,0.9978029546479898,0.7585547148347115,1256992,FL
CALHOUN,99,0.9949538467301495,0.6153646477366046,8095,FL
CHARLOTTE,99,0.9992151529618584,0.8367947752263951,139679,FL
CITRUS,99,0.9974738068757324,0.8504432182084054,116978,FL
CLAY,99,0.998527553498526,0.808218616228109,160057,FL
COLLIER,99,0.9994439947675163,0.7225061229534783,237174,FL
COLUMBIA,99,0.9954686191343619,0.7678333832296491,43184,FL
DESOTO,99,0.9950613245703995,0.7687836381303622,17192,FL
DIXIE,99,0.9971490578282368,0.7371160601026283,10140,FL
DUVAL,100,0.9995928260781144,0.8416789994495779,652485,FL
ESCAMBIA,99,0.9967195257339098,0.8455523806561751,225149,FL
FLAGLER,99,0.9981627710673736,0.8536176394773308,89345,FL
FRANKLIN,99,0.9977965724474976,0.604028200786842,7994,FL
GADSDEN,99,0.998397817066648,0.8145458112663138,30688,FL
GILCHRIST,99,0.9956942582234087,0.6772520234907168,12253,FL
GLADES,99,0.9936658463325628,0.5398378165587783,6986,FL
GULF,99,0.9973063492609783,0.9201607396614583,10107,FL
HAMILTON,99,0.9930389386047233,0.6516370372473805,7807,FL
HARDEE,99,0.9893521684399105,0.8913865451627613,11857,FL
HENDRY,99,0.9898242696041052,0.6852772808299624,18900,FL
HERNANDO,99,0.9977758866371019,0.8552119670492967,141672,FL
HIGHLANDS,99,0.9975563068717721,0.8210660747773556,64082,FL
HILLSBOROUGH,99,0.9994699272922707,0.8068985280547348,922432,FL
HOLMES,99,0.9963507194107122,0.7640891350035308,11387,FL
INDIAN RIVER,99,0.9989246342082904,0.8343074829470791,118648,FL
JACKSON,99,0.9961889430283338,0.9505586873945859,29736,FL
JEFFERSON,99,0.9975417732831258,0.6661928679375388,9597,FL
LAFAYETTE,98,0.9934895145584967,0.6776348462640737,4388,FL
LAKE,99,0.9993906091906762,0.7983962008395417,257490,FL
LEE,99,0.9984579803166825,0.8111889364974336,491316,FL
LEON,99,0.9823086147912031,0.8073324209174745,214355,FL
LEVY,99,0.9985265680541734,0.8255098325645382,29830,FL
LIBERTY,98,0.9906414822407966,0.5677998918990643,4340,FL
MADISON,99,0.994946451847104,0.7777794040022312,12024,FL
MANATEE,99,0.9997078238337012,0.7969115769101993,266160,FL
MARION,99,0.9975424515293868,0.8282314288107554,259251,FL
MARTIN,99,0.9993933533721815,0.7856221246522245,115509,FL
MIAMI-DADE,99,0.9967058875207582,0.7522232875643161,1528900,FL
MONROE,99,0.9994173453607209,0.770887981612908,57606,FL
NASSAU,99,0.999046205085973,0.749007998301924,71513,FL
OKALOOSA,99,0.9961665993544493,0.7356234504494104,142204,FL
OKEECHOBEE,99,0.9951610225100983,0.7252242832643918,21274,FL
ORANGE,99,0.9986149919526767,0.7619158296398011,863472,FL
OSCEOLA,99,0.9986232379221819,0.8308745070933691,250487,FL
PALM BEACH,99,0.9992826895317037,0.7935178745548869,972023,FL
PASCO,99,0.9992522170949735,0.8271601314422804,387265,FL
PINELLAS,99,0.9996529463580901,0.7891595605659164,696409,FL
POLK,99,0.9979874426411081,0.8585438516584548,460427,FL
PUTNAM,99,0.9965241130132233,0.883624030351836,49262,FL
SANTA ROSA,99,0.9986864281399374,0.8304435141503355,132947,FL
SARASOTA,99,0.9992773652928437,0.8111909635534531,325457,FL
SEMINOLE,99,0.9970176418057244,0.7525460163471787,325697,FL
ST. JOHNS,99,0.9973984337343544,0.7554021658953852,209095,FL
ST. LUCIE,99,0.9987860668924654,0.8455062843695441,222075,FL
SUMTER,99,0.9995359785241206,0.7866571996974728,105283,FL
SUWANNEE,99,0.9965404805893165,0.8461466184397768,27467,FL
TAYLOR,99,0.9960838166675682,0.7046376242941103,12938,FL
UNION,99,0.9928482962193947,0.5529735679061482,7498,FL
VOLUSIA,99,0.9981379406107482,0.8500290614446843,396256,FL
WAKULLA,99,0.9974371294803782,0.7103977952686134,21766,FL
WALTON,99,0.9988788324267571,0.747394904582017,55264,FL
WASHINGTON,99,0.9954398205466892,0.8370183688654433,16097,FL
