county,max_age,r_count,r_rate,n_registered,state
APPLING,98,0.9955011569744706,0.7375575845950683,11499,GA
ATKINSON,97,0.9755223439063737,0.7049549717252515,4622,GA
BACON,96,0.9867778486088192,0.7903449737464513,6661,GA
BAKER,96,0.9759456958092056,0.7723915427672302,2194,GA
BALDWIN,99,0.993069665291665,0.7763275372827904,26319,GA
BANKS,99,0.9924051651417691,0.7347638400813614,12876,GA
BARROW,99,0.9973806402092791,0.8121998467769719,56219,GA
BARTOW,99,0.9989011186834844,0.87554780039137,73611,GA
BEN HILL,99,0.9784672948118269,0.7202581940472236,10038,GA
BERRIEN,99,0.9897983752976061,0.757675621401652,11305,GA
BIBB,99,0.9953454394744492,0.9058893683164864,106506,GA
BLECKLEY,99,0.9920064651816615,0.7783901116445949,7666,GA
BRANTLEY,98,0.9931291835364229,0.6875095868712334,11357,GA
BROOKS,99,0.9865343294698754,0.8397912590749249,10959,GA
BRYAN,99,0.997880382176583,0.7795801384388935,29605,GA
BULLOCH,99,0.99292104000692,0.8647748486723643,44808,GA
BURKE,99,0.9937377124746075,0.8246509564092577,16206,GA
BUTTS,99,0.9952094570182283,0.7428972134370015,17113,GA
CALHOUN,99,0.9731883787691471,0.7057888385641207,3118,GA
CAMDEN,99,0.9917502113854776,0.8706849841079907,33719,GA
CANDLER,98,0.9881076450987931,0.648207412169333,6320,GA
CARROLL,99,0.9984510779518796,0.8692108988821867,82412,GA
CATOOSA,99,0.9975144087525618,0.8625778739080506,44660,GA
CHARLTON,98,0.9916921452105834,0.7018178896237298,6465,GA
CHATHAM,99,0.9969767268377832,0.8575601892657277,196739,GA
CHATTAHOOCHEE,99,0.8115508372742094,0.7025976320932739,3607,GA
CHATTOOGA,99,0.994919858444762,0.7607333827214957,14292,GA
CHEROKEE,99,0.9958648594800091,0.8228505073941291,188449,GA
CLARKE,99,0.9833496858438316,0.7903919033055118,75224,GA
CLAY,98,0.961965726701854,0.6930708780375606,2031,GA
CLAYTON,99,0.9907475491078651,0.9055182234774937,190058,GA
CLINCH,95,0.9811940715215034,0.741451767718839,4221,GA
COBB,99,0.9964446501890091,0.8352040309662541,522310,GA
COFFEE,99,0.9812479210960928,0.8231103335917394,24536,GA
COLQUITT,99,0.9888006655632625,0.843920826487766,24995,GA
COLUMBIA,99,0.9980360684042142,0.857590581281852,103890,GA
COOK,99,0.9869662222532415,0.7233107443344635,10691,GA
COWETA,99,0.9981518345018732,0.8174562398141991,101544,GA
CRAWFORD,98,0.9930396773550586,0.7158971860187994,8551,GA
CRISP,98,0.9643146847073994,0.8574181216021253,12453,GA
DADE,98,0.9317998430662972,0.9068995985243751,11442,GA
DAWSON,99,0.9957372870428326,0.7130210552024364,21531,GA
DECATUR,99,0.990085079676084,0.8899743961034471,16594,GA
DEKALB,99,0.9986824697446174,0.8684839708094431,530411,GA
DODGE,98,0.9926315405651814,0.7311257785812344,11418,GA
DOOLY,99,0.9794669193131961,0.7799993422915844,5852,GA
DOUGHERTY,99,0.9638870025017262,0.9142891905173853,61418,GA
DOUGLAS,99,0.9978635578446915,0.8901070351256254,99109,GA
EARLY,99,0.9901533043915558,0.7914482204950705,7203,GA
ECHOLS,97,0.9698572346923107,0.7831633286342323,2096,GA
EFFINGHAM,99,0.9980133799090871,0.8120914661814799,43870,GA
ELBERT,99,0.9947348013790948,0.8493904530174898,12376,GA
EMANUEL,98,0.9901666166684722,0.7969466119090978,13925,GA
EVANS,98,0.9814266719892413,0.7140935906770302,6239,GA
FANNIN,99,0.9964187068015262,0.8761216919289302,19686,GA
FAYETTE,99,0.9951670638431337,0.8428983560129154,89624,GA
FLOYD,99,0.9975502147382528,0.8899903984171413,59561,GA
FORSYTH,99,0.9928849403093256,0.7795321203396343,161765,GA
FRANKLIN,99,0.9943946060430964,0.7027055964979106,15207,GA
FULTON,100,0.9986190616128852,0.8704001212325833,776303,GA
GILMER,99,0.9976741455232871,0.8062599986750066,22003,GA
GLASCOCK,95,0.9576576231391007,0.5425231382579393,2011,GA
GLYNN,100,0.9939912499680585,0.8847490890147164,59975,GA
GORDON,99,0.9977753455372127,0.8803894240420025,36509,GA
GRADY,99,0.9946410535459332,0.7784513171167227,15006,GA
