county,max_age,r_count,r_rate,n_registered,state
ADA,99,0.9994118199934922,0.9555786608970779,281473,ID
ADAMS,97,0.9975331788812198,0.5530011827956659,2731,ID
BANNOCK,99,0.9973993493173634,0.8798805731668401,43560,ID
BEAR LAKE,99,0.9951842101542635,0.4706646764001807,3528,ID
BENEWAH,99,0.9977883633020977,0.5006428007814014,5490,ID
BINGHAM,99,0.9983182025342024,0.6784206403431305,21861,ID
BLAINE,99,0.9988997480968956,0.5565021860578817,14256,ID
BOISE,99,0.998409043715039,0.6184854593551278,5255,ID
BONNER,99,0.9995390923749224,0.7703158661244058,29206,ID
BONNEVILLE,99,0.9990879109479337,0.8582561339494673,58416,ID
BOUNDARY,99,0.9986241995682635,0.47298305310271715,6748,ID
BUTTE,97,0.9912216353672063,0.4876456605944548,1499,ID
CAMAS,99,0.9861642987945738,0.3465791436651725,734,ID
CANYON,99,0.998746267066481,0.8973898187363701,104395,ID
CARIBOU,99,0.9934954072303698,0.7235881952856903,3719,ID
CASSIA,99,0.9950311772694307,0.5921323231652288,10295,ID
CLARK,91,0.9389379363172586,0.28066887613281694,356,ID
CLEARWATER,99,0.9984920772088787,0.657265748018847,4717,ID
CUSTER,99,0.9982404571251664,0.47515119257129457,2902,ID
ELMORE,99,0.9974667609121027,0.6546890321082962,11221,ID
FRANKLIN,99,0.9970563383799342,0.6081189870144781,7072,ID
FREMONT,99,0.9961652983739572,0.43832531609753483,7115,ID
GEM,99,0.9981157904316553,0.7656422463645696,10701,ID
GOODING,99,0.9963769638264925,0.5980443177552133,6550,ID
IDAHO,99,0.9987177322956804,0.746562695304585,10341,ID
JEFFERSON,99,0.9972704767859055,0.6692997948158611,15050,ID
JEROME,99,0.9653500230876246,0.6750215738774233,8874,ID
KOOTENAI,99,0.9995566772483262,0.8423775222189231,96710,ID
LATAH,99,0.9972067973110857,0.8208071538966815,22512,ID
LEMHI,99,0.9967632255453587,0.5536132575944601,5178,ID
LEWIS,98,0.9685575002922086,0.1201327561971015,2027,ID
LINCOLN,99,0.9900721405914572,0.535340585819226,2193,ID
MADISON,98,0.9984354331024627,0.7741664428803298,18380,ID
MINIDOKA,99,0.9982895211833305,0.713405288491339,8596,ID
NEZ PERCE,99,0.9976784553265176,0.8801453771786848,22635,ID
ONEIDA,97,0.993661446912997,0.5514254422890701,2665,ID
OWYHEE,99,0.99432777936815675,0.44155942872674964,5305,ID
PAYETTE,99,0.9979454474904403,0.614088228162989,12271,ID
POWER,99,0.9941796421905102,0.5668284337548101,3353,ID
SHOSHONE,99,0.9951600438953979,0.6573818425748909,6873,ID
TETON,98,0.997762384216596,0.6265037940893438,6656,ID
TWIN FALLS,99,0.9985846269808144,0.8854901085583096,39949,ID
VALLEY,99,0.9988899889339582,0.523429484928892,7525,ID
WASHINGTON,99,0.9981116604805109,0.5316391205323443,5719,ID
