county,max_age,r_count,r_rate,n_registered,state
ADAMS,100,0.9961055407088135,0.9316083319998971,44999,IL
ALEXANDER,99,0.9364916542960083,0.7499860387283789,5413,IL
BOND,99,0.9939913330576463,0.7767137986220681,10627,IL
BOONE,100,0.9956213476342235,0.8438641028544334,34272,IL
BROWN,100,0.9831335005301682,0.743446513195825,3331,IL
BUREAU,100,0.9936394072539041,0.8871663924444622,22948,IL
CALHOUN,99,0.9864444907401041,0.7188617628784446,3475,IL
CARROLL,99,0.9937432477822523,0.8218390783735862,10514,IL
CASS,99,0.9825424779449912,0.691855533088181,7628,IL
CHAMPAIGN,100,0.9874425686118993,0.8817531106130388,126997,IL
CHRISTIAN,100,0.9960993699765557,0.8691915696999901,21310,IL
CLARK,99,0.9947221515592783,0.8514509625053567,10940,IL
CLAY,99,0.9940886066437497,0.8801105792959293,8922,IL
CLINTON,100,0.9974112173834392,0.912235614187563,25499,IL
COLES,99,0.9936936694775265,0.8880883615665065,30799,IL
COOK,99,0.9971030363175948,0.975290128069007,3334215,IL
CRAWFORD,99,0.9867965906520736,0.8806826156487242,12507,IL
CUMBERLAND,99,0.9923788372527679,0.7911446514161095,7496,IL
DEKALB,100,0.9987513524587114,0.8581874501467082,61956,IL
DEWITT,99,0.996115409439736,0.8165086922876359,10581,IL
DOUGLAS,100,0.9953664215690063,0.7648797205987218,11578,IL
DUPAGE,100,0.998373642516677,0.9501462339298354,625357,IL
EDGAR,99,0.9902402419406215,0.8954611071667603,11484,IL
EDWARDS,98,0.9908651795240961,0.6428935430503531,4255,IL
EFFINGHAM,100,0.997488773271846,0.9198999562965476,24121,IL
FAYETTE,100,0.9946430249231166,0.8862564698652835,13422,IL
FORD,99,0.9933178588320399,0.8881704884297299,8977,IL
FRANKLIN,100,0.9913633432676238,0.9695683822523476,27439,IL
FULTON,100,0.9907567003792355,0.9368346682887786,23583,IL
GALLATIN,99,0.9857441039332991,0.6889848477946118,3650,IL
GREENE,100,0.9938237126600391,0.7501301604154395,8701,IL
GRUNDY,99,0.9971734484767271,0.9316506161172083,34920,IL
HAMILTON,100,0.9917879891772218,0.7051426442402797,5454,IL
HANCOCK,99,0.9959088650104613,0.8484389993885855,11816,IL
HARDIN,98,0.9881317252538748,0.7986933232880787,2872,IL
HENDERSON,99,0.9922746001886427,0.6920984792319318,4640,IL
HENRY,100,0.9956147665614865,0.9519024513671696,33833,IL
IROQUOIS,99,0.9972400584632573,0.9002432360579417,17902,IL
JACKSON,99,0.9535303928952967,0.9204804740138424,33561,IL
JASPER,99,0.9928414203949032,0.8618791059099662,6676,IL
JEFFERSON,100,0.9950941343088475,0.8751152946742006,23838,IL
JERSEY,100,0.9975442077962681,0.7523184545279624,15032,IL
JODAVIESS,99,0.9971991545547739,0.8388842151383826,15898,IL
JOHNSON,99,0.9893533330542109,0.600699093971584,8319,IL
KANE,100,0.999339396200868,0.9777794471073046,315931,IL
KANKAKEE,100,0.9934724056632367,0.9605700238825817,69591,IL
KENDALL,100,0.9982793771613911,0.907093565873154,83171,IL
KNOX,100,0.9931416072791339,0.8930243870121585,32083,IL
LAKE,100,0.9983692060051321,0.9832940827063552,457728,IL
LASALLE,100,0.9962279563662882,0.9371270660492215,75786,IL
LAWRENCE,99,0.9911870648272917,0.8385448427104678,8649,IL
