county,max_age,r_count,r_rate,n_registered,state
ADAMS,100,0.994828525458121,0.7785639953508308,18814,IN
ALLEN,100,0.9986486131496408,0.8213815587205726,248677,IN
BARTHOLOMEW,100,0.9963832328272152,0.8437814606086916,49090,IN
BENTON,99,0.9867367819753781,0.6609906720326294,5624,IN
BLACKFORD,100,0.9894565403071832,0.8270181680472944,7778,IN
BOONE,100,0.9911147037085559,0.6920768153740355,49883,IN
BROWN,100,0.9976670824014736,0.8848599148474529,11738,IN
CARROLL,100,0.9945555470073727,0.7742700021473891,13194,IN
CASS,100,0.9951052259551639,0.7849969617097307,21507,IN
CLARK,100,0.9976706742827789,0.7078685744014658,85960,IN
CLAY,99,0.9945547033208941,0.8002806416912015,17758,IN
CLINTON,100,0.9934958629058441,0.8010868909677806,19184,IN
CRAWFORD,99,0.9906177872294794,0.7628328689730298,7251,IN
DAVIESS,100,0.9933570621646808,0.7629716866121015,16990,IN
DE KALB,99,0.9960223815029521,0.7481195210677068,27754,IN
DEARBORN,99,0.9979144777283067,0.8251041523371578,36431,IN
DECATUR,99,0.9933620289005934,0.6609552595968763,16537,IN
DELAWARE,100,0.9881187861071972,0.9027364468781672,76604,IN
DUBOIS,100,0.9951870610291725,0.8642765792782737,29069,IN
ELKHART,100,0.9937918002032619,0.8403849457048953,116359,IN
FAYETTE,99,0.9943950065615402,0.8718643527051715,14926,IN
FLOYD,100,0.9985884783291408,0.760607096224847,56780,IN
FOUNTAIN,99,0.9925158660549417,0.8059225450932505,10960,IN
FRANKLIN,99,0.99473082893104,0.7194200988817324,16229,IN
FULTON,100,0.9946521621013896,0.7073124101456245,12500,IN
GIBSON,99,0.9972005987534246,0.9264235586721677,21788,IN
GRANT,100,0.9941486587681899,0.7954340975581938,41907,IN
GREENE,100,0.9952099946786598,0.6717424244172561,20022,IN
HAMILTON,99,0.9938942991296432,0.7200221410357317,242336,IN
HANCOCK,100,0.996193892055694,0.7601724301902641,57257,IN
HARRISON,100,0.9974130543486913,0.7319016220591166,27789,IN
HENDRICKS,100,0.9966215599906371,0.7453661794328228,115792,IN
HENRY,100,0.9972131869585295,0.6694037088040021,29784,IN
HOWARD,100,0.9966265246442343,0.7875698732272473,57468,IN
HUNTINGTON,100,0.996501962550942,0.6568549781702704,23978,IN
JACKSON,100,0.9965351877166598,0.7627085285294404,27042,IN
JASPER,100,0.9965894594064132,0.7430606025103559,21610,IN
JAY,100,0.9929561513901564,0.7155949158049149,11658,IN
JEFFERSON,99,0.9962272274231697,0.7878917229512388,20712,IN
JENNINGS,99,0.9965455081523524,0.7767230698433616,17321,IN
JOHNSON,100,0.9976523067095684,0.8054982923275972,105524,IN
KNOX,100,0.9944903813470214,0.7943644058796384,22998,IN
KOSCIUSKO,100,0.9980682040656444,0.8278397966993466,50596,IN
LA PORTE,100,0.9952415550737777,0.7655145030293595,73960,IN
LAGRANGE,99,0.9935266405907955,0.7924859237830955,15309,IN
LAKE,100,0.9944190954796986,0.8718394917619258,338900,IN
LAWRENCE,100,0.9973816619458149,0.8789815780294665,30200,IN
MADISON,100,0.9921046052461941,0.8857519838635917,84891,IN
MARION,99,0.9950019963046055,0.8020109349013833,613996,IN
MARSHALL,100,0.9960813999630415,0.748135685861802,28027,IN
MARTIN,100,0.9927973311767494,0.7129919488031454,7135,IN
MIAMI,100,0.9950864227366345,0.8218722145984956,20873,IN
MONROE,100,0.9887139708566774,0.7808829819185364,88747,IN
MONTGOMERY,100,0.9962200184072361,0.8625186274862773,23516,IN
MORGAN,100,0.998267262630183,0.7336706856734033,49371,IN
NEWTON,100,0.9943929468146678,0.7700029623844792,9553,IN
NOBLE,99,0.9966921631326608,0.8299790577628251,28252,IN
OHIO,98,0.9892119134000257,0.8650612139471014,4483,IN
ORANGE,99,0.9921026845432731,0.7719063057490044,13076,IN
OWEN,100,0.9969874558588524,0.8719839458483226,13777,IN
PARKE,100,0.994993673511824,0.7370253737131807,9952,IN
PERRY,99,0.9857905315467351,0.818853699855754,11945,IN
PIKE,99,0.9919944846729065,0.8251390974570171,8566,IN
PORTER,100,0.9985511750696648,0.8391713731624959,120744,IN
