county,max_age,r_count,r_rate,n_registered,state
ALLEN,99,0.9683528723319487,0.8559843610978705,8352,KS
ANDERSON,99,0.9854589019805934,0.5695759830838191,5263,KS
ATCHISON,99,0.9811001719460184,0.7185312119729176,10946,KS
BARBER,99,0.9902858602133662,0.6399665047577192,2757,KS
BARTON,99,0.9902176904588945,0.8391365207174997,15388,KS
BOURBON,99,0.8922574335444868,0.8723124121983489,10851,KS
BROWN,99,0.9922650460210587,0.7315775246040058,5989,KS
BUTLER,99,0.9981380990158741,0.7886212357963429,42483,KS
CHASE,98,0.9842996899348067,0.6599886372772354,1803,KS
CHAUTAUQUA,99,0.98486927956329,0.6724305496304184,2213,KS
CHEROKEE,99,0.9918192775045914,0.8966813361419632,13076,KS
CHEYENNE,99,0.9830483784066938,0.5766429521804575,1810,KS
CLARK,98,0.9556110414870612,0.4635058886826239,1367,KS
CLAY,99,0.9927120848435164,0.6949328819587076,5354,KS
CLOUD,99,0.9857718139346537,0.8271961767171855,5567,KS
COFFEY,99,0.9939150619433399,0.6790505550672061,5965,KS
COMANCHE,95,0.9792570592938356,0.48418106508411085,1063,KS
COWLEY,99,0.9951564473417428,0.7950193540648623,19195,KS
CRAWFORD,99,0.9893723155885514,0.7737741264973407,23051,KS
DECATUR,98,0.984543505008834,0.7204545248324172,1930,KS
DICKINSON,99,0.9939661090532801,0.8535300288111508,12352,KS
DONIPHAN,99,0.9893205626035425,0.7501104393471408,4574,KS
DOUGLAS,99,0.9984764215423291,0.7718504772743139,76616,KS
EDWARDS,99,0.9831857740268037,0.6678706363707178,1809,KS
ELK,99,0.981557293049671,0.655833962902397,1707,KS
ELLIS,99,0.9968856466495813,0.7511317082704814,17859,KS
ELLSWORTH,99,0.9895465826177146,0.7865505010934134,3745,KS
FINNEY,99,0.961221814683049,0.8536186351320707,19021,KS
FORD,99,0.9819252229284013,0.7908340964365281,14448,KS
FRANKLIN,99,0.9918290776904312,0.8158702487941357,17667,KS
GEARY,99,0.9829143274428039,0.822646259408849,14204,KS
GOVE,98,0.9761875606320998,0.7211888354140132,1796,KS
GRAHAM,99,0.9858376143630636,0.7089505892703314,1669,KS
GRANT,99,0.9658108388248082,0.6365416006162458,3564,KS
GRAY,99,0.9900296349174104,0.5653172553518412,2939,KS
GREELEY,96,0.9691039229541389,0.5557573319138072,797,KS
GREENWOOD,99,0.9879002001290047,0.7419096775722758,4297,KS
HAMILTON,99,0.9421459317444894,0.6504769664500828,1183,KS
HARPER,99,0.9872716104567053,0.5796177260104913,3396,KS
HARVEY,99,0.9964292236727899,0.9308168265081398,22294,KS
HASKELL,98,0.953260991651825,0.6462511579581741,2114,KS
HODGEMAN,97,0.9793313120945101,0.5764129236580178,1252,KS
JACKSON,99,0.9944368008272391,0.7912604594249979,8618,KS
JEFFERSON,99,0.9975237662248005,0.6728785250867192,12487,KS
JEWELL,99,0.9855385798692239,0.5176834366166004,2074,KS
JOHNSON,99,0.9957181797256197,0.6901237753962872,413196,KS
KEARNY,99,0.9679607341954767,0.6466095248755293,2042,KS
KINGMAN,99,0.9907033923646489,0.7054087070775764,4921,KS
KIOWA,99,0.975943562003125,0.5178950809679188,1370,KS
LABETTE,99,0.985513310950919,0.6939961319828835,12747,KS
LANE,99,0.9672433947902671,0.43901980058464785,1081,KS
LEAVENWORTH,99,0.9982596334584258,0.7942779845926087,46867,KS
LINCOLN,99,0.983570855189649,0.5992551373392258,2014,KS
LINN,99,0.9913597062276741,0.82627808169979855,6652,KS
LOGAN,99,0.9796213961317619,0.6525625648241478,1757,KS
LYON,99,0.9950305695843052,0.7634796253819617,18905,KS
MARION,99,0.9944719319673345,0.78316572671163,7579,KS
MARSHALL,99,0.9951263111902889,0.696343241380753,6385,KS
MCPHERSON,99,0.9949593933492875,0.7177016245440011,17662,KS
