county,max_age,r_count,r_rate,n_registered,state
ADAIR,99,0.9933464566906938,0.7512949163085306,13119,KY
ALLEN,99,0.9937040665653869,0.7104585570515783,14274,KY
ANDERSON,99,0.9915893671506741,0.5911579758038853,17428,KY
BALLARD,99,0.9889127195252929,0.6286154498499021,6002,KY
BARREN,99,0.9957271921939823,0.744707551898055,30347,KY
BATH,99,0.987721548062793,0.5481585169289063,9110,KY
BELL,99,0.9820808305314452,0.7407734730041419,19482,KY
BOONE,99,0.99701772583784265,0.7694473049923807,97377,KY
BOURBON,99,0.9955212878895355,0.6907919979529004,14028,KY
BOYD,99,0.9937094199412271,0.7706888862039972,36053,KY
BOYLE,99,0.9925083504328888,0.772229411407814,21195,KY
BRACKEN,99,0.9858840729674468,0.645853618725674,6217,KY
BREATHITT,99,0.9770536664769963,0.741252087413773,10687,KY
BRECKINRIDGE,99,0.9951673584411002,0.7624419627939024,14975,KY
BULLITT,99,0.9976428964185106,0.7941061963474829,59008,KY
BUTLER,99,0.9863391194128531,0.7129110714534861,8958,KY
CALDWELL,99,0.989652374548542,0.7759792066730682,9454,KY
CALLOWAY,99,0.9803943803962496,0.834119929746919,27291,KY
CAMPBELL,99,0.9976034244055625,0.7794547707269648,69916,KY
CARLISLE,99,0.9785959926745468,0.7268899650195952,3707,KY
CARROLL,99,0.98279736155352,0.7651099080652364,7415,KY
CARTER,99,0.9928878204069834,0.7983130044646591,18869,KY
CASEY,99,0.9910880993000994,0.7241092460479841,10720,KY
CHRISTIAN,99,0.9228772280286287,0.8429341062568726,46036,KY
CLARK,99,0.996631513791272,0.7652770707127503,27728,KY
CLAY,99,0.9903332714692656,0.5318592905323333,13906,KY
CLINTON,98,0.9874353616009993,0.718066534542258,7235,KY
CRITTENDEN,99,0.9915211217927751,0.7121014779187291,6043,KY
CUMBERLAND,98,0.981409305880001,0.6586520942750972,4896,KY
DAVIESS,99,0.9975789171679958,0.8174613937911315,70918,KY
EDMONSON,99,0.9890056458814751,0.7352856938944271,9142,KY
ELLIOTT,98,0.9810737243305341,0.6426182957664454,5071,KY
ESTILL,99,0.9924394838073233,0.706953911770528,10146,KY
FAYETTE,99,0.9989714033169502,0.7526833524043239,217694,KY
FLEMING,98,0.9910797702144666,0.6098373272248246,10455,KY
FLOYD,99,0.9954548875107175,0.7202204925972733,27855,KY
FRANKLIN,99,0.9918320882445602,0.779140662356166,37794,KY
FULTON,99,0.9408963484544707,0.6304658849081347,4541,KY
GALLATIN,99,0.9895047359643128,0.5008387071670898,6005,KY
GARRARD,98,0.9935938677564614,0.59955322607864,12863,KY
GRANT,99,0.9932593833402469,0.6861065553126907,17186,KY
GRAVES,99,0.9961838104200453,0.7887486725258952,24268,KY
GRAYSON,99,0.9941234818547888,0.7575440289409688,17868,KY
GREEN,99,0.9910835568289711,0.7439251230099367,8175,KY
GREENUP,99,0.9959163203035201,0.8087079980135468,27714,KY
HANCOCK,99,0.9883850947230933,0.7163707388309976,6376,KY
HARDIN,99,0.9936220185648194,0.8230745113319046,78211,KY
HARLAN,99,0.9928711253255993,0.7621024358957343,19197,KY
HARRISON,99,0.9936531668996644,0.7307167617167524,13300,KY
HART,99,0.9943247620525743,0.7920833908314948,13211,KY
HENDERSON,99,0.9945000398881878,0.8183961999903053,31693,KY
HENRY,99,0.9927081084283478,0.5732180373292053,11599,KY
HICKMAN,99,0.9806347650632892,0.6642560509679816,3248,KY
HOPKINS,99,0.99669660631533,0.7805156836946393,32370,KY
JACKSON,99,0.990039270333378,0.6837698208412412,9816,KY
JEFFERSON,99,0.9987969787364037,0.7902350557645585,562907,KY
JESSAMINE,99,0.9969050499701165,0.7643851813265417,38667,KY
JOHNSON,99,0.9924150421511375,0.734250246700368,17239,KY
KENTON,99,0.9974433672266573,0.79113267585591,124488,KY
KNOTT,99,0.9900437005088033,0.7217108570672652,10448,KY
KNOX,99,0.9942837883286275,0.78169339906223545,23363,KY
LARUE,99,0.9926142125554799,0.5974240961048941,10522,KY
LAUREL,99,0.9975829902478295,0.7983540977229682,45553,KY
LAWRENCE,99,0.9919097943899936,0.5769759182780476,11760,KY
LEE,99,0.9764496190484966,0.6419581072387894,4942,KY
LESLIE,99,0.9900112225165264,0.4173136572503958,7835,KY
LETCHER,99,0.9920919020016062,0.7382937078189324,15521,KY
LEWIS,99,0.9879432304800535,0.6388152334181151,9593,KY
LINCOLN,99,0.9922151568392916,0.7144721995950353,17454,KY
LIVINGSTON,97,0.9938837247911192,0.6736862869934633,6992,KY
LOGAN,99,0.9932394334642936,0.7159214598045135,17567,KY
LYON,99,0.9933465056761484,0.802041843040821,5839,KY
MADISON,99,0.9975464805936808,0.7757414771066834,66168,KY
MAGOFFIN,99,0.9868185159120844,0.7202939961735555,9508,KY
MARION,99,0.9937775309553024,0.7519215919446471,13080,KY
MARSHALL,99,0.9970405161655068,0.8055658934803146,23907,KY
MARTIN,99,0.9786034378165364,0.7792258955299906,7608,KY
MASON,99,0.9913781943653052,0.8091091959556344,12404,KY
MCCRACKEN,99,0.9973011512052322,0.8177368410806062,50394,KY
MCCREARY,98,0.991786375031101,0.6122475061226819,10452,KY
MCLEAN,99,0.9873418823837911,0.5596804952043393,6557,KY
MEADE,99,0.9948647276727324,0.7759454904622288,20852,KY
MENIFEE,97,0.962663835972182,0.7531345807865676,5295,KY
MERCER,99,0.9959361388715778,0.772988529066597,17145,KY
METCALFE,99,0.9891035289734408,0.6918818925130914,7510,KY
