county,max_age,r_count,r_rate,n_registered,state
ACADIA PARISH,99,0.9968613970462814,0.8820046870586578,39265,LA
ALLEN PARISH,99,0.9948667600412578,0.7714569308699245,13636,LA
ASCENSION PARISH,99,0.9972008090724782,0.8730058383284779,80762,LA
ASSUMPTION PARISH,99,0.9959332251976479,0.8310372752821196,14994,LA
AVOYELLES PARISH,99,0.9974381366711434,0.8941041837323,24230,LA
BEAUREGARD PARISH,99,0.9969058335166339,0.7916470531287951,22561,LA
BIENVILLE PARISH,99,0.9955576947869168,0.8966752717216618,9053,LA
BOSSIER PARISH,99,0.998261418944839,0.9646740197969967,72695,LA
CADDO PARISH,99,0.9941595628483157,0.9224108140321082,156622,LA
CALCASIEU PARISH,99,0.9977631434364959,0.979198356596644,124785,LA
CALDWELL PARISH,99,0.9938818979393662,0.6890852415731379,6293,LA
CAMERON PARISH,97,0.9930114649979612,0.5074175880205434,4978,LA
CATAHOULA PARISH,98,0.9934599083746891,0.7220114698427913,6397,LA
CLAIBORNE PARISH,99,0.9907597332426595,0.757694184692952,8876,LA
CONCORDIA PARISH,99,0.9910040213876957,0.8094357259895505,12416,LA
DE SOTO PARISH,99,0.9962116689632788,0.7909286335969756,19430,LA
EAST BATON ROUGE PARISH,99,0.9989590320243832,0.9875951735349412,287932,LA
EAST CARROLL PARISH,99,0.9661725251895944,0.7506645274018567,4850,LA
EAST FELICIANA PARISH,99,0.9959840494267749,0.692890556934071,13979,LA
EVANGELINE PARISH,99,0.99681800242196406,0.8212569294023004,21469,LA
FRANKLIN PARISH,99,0.9916484877533848,0.6575893720055612,13388,LA
GRANT PARISH,99,0.995237881999781,0.7897465135284051,12906,LA
IBERIA PARISH,99,0.996269854491627,0.9412538737099706,46556,LA
IBERVILLE PARISH,99,0.9956144773322402,0.834298287174552,21217,LA
JACKSON PARISH,99,0.9970166320965519,0.861332113114412,9807,LA
JEFFERSON DAVIS PARISH,99,0.9978363885860593,0.7275166772115765,20954,LA
JEFFERSON PARISH,99,0.9983244986854657,0.9817118956171543,273404,LA
LA SALLE PARISH,99,0.9894694060202933,0.6031358438584694,8898,LA
LAFAYETTE PARISH,99,0.9987764588817643,0.9728128836383817,156884,LA
LAFOURCHE PARISH,99,0.9961227257538892,0.9208680331125968,60066,LA
LINCOLN PARISH,99,0.9893690918157831,0.8574442778156912,26699,LA
LIVINGSTON PARISH,99,0.9973500986252448,0.8945950916638542,85912,LA
MADISON PARISH,99,0.9715385111677259,0.5030603002857165,7215,LA
MOREHOUSE PARISH,99,0.983650774925287,0.8700859128733496,17797,LA
NATCHITOCHES PARISH,99,0.9887065967117971,0.9306569635331089,24024,LA
ORLEANS PARISH,99,0.9954194594080316,0.9442807788825361,257572,LA
OUACHITA PARISH,99,0.9932272911713608,0.9340192143985047,100462,LA
PLAQUEMINES PARISH,99,0.995823299041689,0.7389983301768571,14440,LA
POINTE COUPEE PARISH,99,0.9957341534623415,0.7972679866336403,15633,LA
RAPIDES PARISH,99,0.9965910222080734,0.6554075744957704,82737,LA
RED RIVER PARISH,99,0.9906679505307312,0.7908263630036944,5682,LA
RICHLAND PARISH,99,0.9930071171824145,0.9251982694690049,13931,LA
SABINE PARISH,99,0.9951390685862906,0.8822237536562172,14590,LA
ST. BERNARD PARISH,99,0.9915565415616173,0.7847342353027044,26366,LA
ST. CHARLES PARISH,99,0.9973823594735857,0.9259466065140939,35978,LA
ST. HELENA PARISH,99,0.9931008812142508,0.7372837874044997,8548,LA
ST. JAMES PARISH,99,0.99241758365007815,0.6927157249693061,15479,LA
ST. JOHN THE BAPTIST PARISH,99,0.9977229570748521,0.9262678391313979,29641,LA
ST. LANDRY PARISH,99,0.9981877869201704,0.9547998377701561,58531,LA
ST. MARTIN PARISH,99,0.9977057912628641,0.8616975016262001,36819,LA
ST. MARY PARISH,99,0.9946286149199269,0.9126808885678238,32241,LA
ST. TAMMANY PARISH,99,0.998164078480652,0.9688893189579199,178501,LA
TANGIPAHOA PARISH,99,0.9982716086308627,0.9369948411489067,81966,LA
TENSAS PARISH,98,0.9867080857476508,0.8133393820410176,3386,LA
TERREBONNE PARISH,99,0.9986875937611885,0.9379125018495622,63650,LA
UNION PARISH,99,0.9945252528028276,0.8520062592268288,15429,LA
VERMILION PARISH,99,0.9970129218932443,0.8875355883755021,37466,LA
VERNON PARISH,99,0.9951137615729967,0.9043629979711225,24523,LA
WASHINGTON PARISH,99,0.9966181761504368,0.9072846636891484,27710,LA
WEBSTER PARISH,99,0.9966708175672777,0.9206353602807366,24027,LA
WEST BATON ROUGE PARISH,99,0.9930678230965388,0.803056741741327,17572,LA
WEST CARROLL PARISH,99,0.9845450474305971,0.8252961010615247,7124,LA
WEST FELICIANA PARISH,99,0.9954881986403962,0.7866142100961939,7849,LA
WINN PARISH,99,0.9910407184477217,0.7567987725070349,8567,LA
