county,max_age,r_count,r_rate,n_registered,state
BARNSTABLE,100,0.9986255778368146,0.8091335106878027,176911,MA
BERKSHIRE,100,0.9954267792791879,0.8587800468821533,89224,MA
BRISTOL,99,0.9975691391129871,0.9872132763649153,377719,MA
DUKES,99,0.992220174404917,0.6822519305622042,15382,MA
ESSEX,100,0.9987139101960684,0.8711454233276757,534610,MA
FRANKLIN,99,0.998437869476345,0.8960040576938929,51696,MA
HAMPDEN,99,0.9831359795197447,0.9218674087341429,314107,MA
HAMPSHIRE,99,0.993860294887706,0.9013643276424853,104488,MA
MIDDLESEX,100,0.997295984525423,0.9597038667070756,1033343,MA
NANTUCKET,99,0.9946597336882265,0.6487632216925037,8818,MA
NORFOLK,99,0.9979939043248663,0.963993056265793,487665,MA
PLYMOUTH,100,0.9993809664513478,0.8527090560214148,374679,MA
SUFFOLK,99,0.9964097874434567,0.8745538008233328,451431,MA
WORCESTER,100,0.9984761029319289,0.8811019396567492,549572,MA
