county,max_age,r_count,r_rate,n_registered,state
ANDROSCOGGIN,100,0.989398551264245,0.7029166814214859,78763,ME
AROOSTOOK,99,0.9973491333110962,0.7076702139719117,48445,ME
CUMBERLAND,100,0.9986954047108878,0.6333848559027584,241133,ME
FRANKLIN,99,0.9918912438327837,0.9451433307932656,23280,ME
HANCOCK,99,0.9990230289281339,0.6662486148118385,44617,ME
KENNEBEC,100,0.9977356133305902,0.5895379238627249,95196,ME
KNOX,99,0.9980727181827457,0.6167632410551097,30892,ME
LINCOLN,100,0.9987915881041258,0.45405844632221887,28677,ME
OXFORD,99,0.9988382893715233,0.6987707265688975,43369,ME
PENOBSCOT,99,0.994205125140551,0.6745167780695198,113270,ME
PISCATAQUIS,99,0.996982480248103,0.9237290663381753,12281,ME
SAGADAHOC,99,0.9958409580077463,0.5528425375727072,29382,ME
SOMERSET,99,0.9984179856832772,0.6873608872043724,36053,ME
WALDO,99,0.9985493713681781,0.6699348178909883,30813,ME
WASHINGTON,99,0.9975761119751184,0.6427313840452337,22752,ME
YORK,99,0.998532812800675,0.6236695078530845,159801,ME
