county,max_age,r_count,r_rate,n_registered,state
ALCONA,99,0.9953877416144811,0.8273346136428557,9173,MI
ALGER,99,0.9924507225029896,0.6100040802410828,7033,MI
ALLEGAN,99,0.9987157333187261,0.8034207955891022,89362,MI
ALPENA,99,0.9956680442356172,0.7866003573576178,23282,MI
ANTRIM,99,0.9945176566470726,0.8113477423269951,19997,MI
ARENAC,99,0.9942929009177345,0.8568417572298801,11897,MI
BARAGA,99,0.9766353363430136,0.8110841464299314,6177,MI
BARRY,99,0.9977771106746179,0.8183851326761041,47386,MI
BAY,99,0.9978861148708984,0.8128924023640973,81126,MI
BENZIE,99,0.9980044335419492,0.7730763857005027,15248,MI
BERRIEN,100,0.9939982915995361,0.871311140719504,122231,MI
BRANCH,99,0.9916141270995182,0.8490673028575636,30908,MI
CALHOUN,100,0.9931690658212511,0.8506636275314116,98392,MI
CASS,99,0.9925289706367116,0.8803228524729249,39627,MI
CHARLEVOIX,99,0.9964077243465095,0.7899193702373342,21997,MI
CHEBOYGAN,100,0.9917283892342311,0.8395492787987328,21019,MI
CHIPPEWA,99,0.9908518386872832,0.8333339513088927,24086,MI
CLARE,99,0.9930361952964241,0.8728980098767352,23559,MI
CLINTON,99,0.9969507786296241,0.7327046854378453,59282,MI
CRAWFORD,99,0.9910656011481803,0.8567465823399641,11178,MI
DELTA,100,0.9936892527718253,0.8681615575587017,29420,MI
DICKINSON,100,0.9923254796352204,0.8606995517209919,21229,MI
EATON,99,0.9985280244457435,0.7621370622507346,82797,MI
EMMET,99,0.9975328036923116,0.7585823014086945,28336,MI
GENESEE,99,0.9945637008892082,0.8583416266614825,325984,MI
GLADWIN,100,0.994943658037461,0.8795613668359388,20573,MI
GOGEBIC,100,0.9882397608455242,0.8958270230678214,12212,MI
GRAND TRAVERSE,99,0.9982863549879206,0.7296028187827986,75729,MI
GRATIOT,99,0.9955710414640778,0.8057902040315972,26722,MI
HILLSDALE,99,0.9933928536449617,0.8786201171090107,33829,MI
HOUGHTON,100,0.9937185979827914,0.7322175213201471,24592,MI
HURON,99,0.9962965209882448,0.8010186169853436,24696,MI
INGHAM,99,0.9978712328945353,0.772125975854021,197893,MI
IONIA,99,0.9976405675300963,0.8203543706364451,44480,MI
IOSCO,99,0.9941395402403677,0.8710447117088315,20878,MI
IRON,99,0.9888829810257002,0.8501495670999764,9409,MI
ISABELLA,99,0.9925866080145804,0.8545342249713869,43331,MI
JACKSON,100,0.9970967656079355,0.8263379049181093,115170,MI
KALAMAZOO,99,0.996665536169866,0.7728722875907403,193423,MI
KALKASKA,99,0.995077324173579,0.7720310085489475,14865,MI
KENT,99,0.9974015933403607,0.7292831396149358,470101,MI
KEWEENAW,97,0.9853556843837731,0.574481141894336,1878,MI
LAKE,99,0.9774787735453571,0.9138746004773591,9187,MI
LAPEER,99,0.998754545088711,0.7935936014177335,68485,MI
LEELANAU,99,0.9976809830315669,0.7421819148251823,19947,MI
LENAWEE,99,0.9981524643807993,0.8409604230528734,73573,MI
LIVINGSTON,99,0.9965010851811207,0.7213328572155245,153135,MI
LUCE,99,0.9692639531697402,0.5660194582173567,4227,MI
MACKINAC,99,0.994057289340315,0.8344813516784864,9443,MI
MACOMB,99,0.9985448859305854,0.7687553271075531,661697,MI
MANISTEE,99,0.9953342474045721,0.8280905646386796,19580,MI
MARQUETTE,100,0.9945682764511478,0.7953426187531532,50217,MI
MASON,99,0.9937444192347651,0.8487544097798169,23177,MI
MECOSTA,99,0.9885206677474896,0.85306291837743,29479,MI
MENOMINEE,99,0.9855594557821952,0.8340860340898991,18388,MI
MIDLAND,99,0.9975547470761736,0.764556428471301,64396,MI
MISSAUKEE,99,0.9949788494059052,0.7097099153257922,11446,MI
MONROE,99,0.9981938574618013,0.8143157020145512,120665,MI
MONTCALM,99,0.9958142600023436,0.8026900964022519,45388,MI
MONTMORENCY,99,0.988458448428067,0.7750118868679003,7870,MI
MUSKEGON,100,0.9944447516905192,0.8586449410628595,133718,MI
NEWAYGO,99,0.9967750963958107,0.8513047253961444,37590,MI
OAKLAND,100,0.9947410540227167,0.7284199834744839,966961,MI
OCEANA,99,0.985123039637013,0.7936467218723698,19922,MI
OGEMAW,99,0.9920268558150898,0.8340737854710638,16546,MI
ONTONAGON,99,0.9928561540381611,0.8344159719872942,5250,MI
OSCEOLA,99,0.9901527226615411,0.8304790154747602,17249,MI
OSCODA,99,0.9910468952694361,0.7604695878501225,6594,MI
OTSEGO,99,0.9927448634164864,0.8368965423982767,20966,MI
OTTAWA,100,0.9969778945980285,0.7771484378645152,210782,MI
PRESQUE ISLE,99,0.9965057213885025,0.8494498900462064,10902,MI
ROSCOMMON,99,0.9919387296142357,0.856683735281726,21218,MI
SAGINAW,99,0.9928826178795294,0.8447056390428322,146936,MI
SANILAC,100,0.9969766327478297,0.8209589052638496,30024,MI
SCHOOLCRAFT,99,0.9547423055845151,0.7757254759359276,6917,MI
SHIAWASSEE,99,0.9977880901795646,0.788797141492006,52774,MI
ST. CLAIR,99,0.9983973042437496,0.8299156730058089,127752,MI
ST. JOSEPH,99,0.9876348881821584,0.8832543334132468,43403,MI
TUSCOLA,99,0.9971081707061518,0.8036802857853856,40609,MI
VAN BUREN,99,0.9954331873975898,0.8581898090301657,56763,MI
WASHTENAW,99,0.9895567017201629,0.7609192271352082,285358,MI
WAYNE,100,0.9988708018028285,0.8590609835379983,1326491,MI
WEXFORD,99,0.9950730274505591,0.7913051955496611,25663,MI
