county,max_age,r_count,r_rate,n_registered,state
AITKIN,99,0.9988306747600757,0.5334068645303474,10852,MN
ANOKA,99,0.9998572681779005,0.622699391978628,228824,MN
BECKER,99,0.9989144476607543,0.6456077248147492,21417,MN
BELTRAMI,99,0.9950998097734662,0.8221494768035658,27670,MN
BENTON,99,0.9989663394814082,0.6694788777348619,24868,MN
BIG STONE,99,0.9962229499260159,0.4365604186772985,3166,MN
BLUE EARTH,99,0.9982062260883799,0.5655718868903842,39894,MN
BROWN,99,0.9974415992134447,0.8158954857656575,16126,MN
CARLTON,99,0.9987488494437214,0.6454913560588933,22344,MN
CARVER,99,0.9996197096684947,0.5998749034043935,70893,MN
CASS,99,0.9972691456423992,0.7324211802936033,20349,MN
CHIPPEWA,99,0.9973218469294837,0.5944332857854437,7298,MN
CHISAGO,99,0.999381952082154,0.5135738717137108,37213,MN
CLAY,99,0.9982922988593532,0.6874577983762556,35988,MN
CLEARWATER,99,0.9966579250931316,0.5124689680827648,5127,MN
COOK,99,0.997827339315868,0.5604535236306412,3970,MN
COTTONWOOD,99,0.9962125654784747,0.7141442652466958,6523,MN
CROW WING,99,0.9987676731858494,0.6208734698226536,44111,MN
DAKOTA,99,0.9998558253473604,0.5996661352562981,282493,MN
DODGE,99,0.9987142175921438,0.6629786398032324,12898,MN
DOUGLAS,99,0.998623360237293,0.6563086440239561,26225,MN
FARIBAULT,99,0.998717874030043,0.6090433327889049,8426,MN
FILLMORE,99,0.9988747441534184,0.6793497743515873,13057,MN
FREEBORN,99,0.9977323363318629,0.5885277619090827,18535,MN
GOODHUE,99,0.9992973532699322,0.5526463937018253,30958,MN
GRANT,98,0.9958048048050223,0.5910386231900893,3940,MN
HENNEPIN,99,0.9995391373086541,0.5559726902091975,816049,MN
HOUSTON,99,0.9989903700465901,0.8519755653580521,12342,MN
HUBBARD,99,0.9982192660074561,0.5763260613911608,14144,MN
ISANTI,99,0.999119349004901,0.5352789129221043,26370,MN
ITASCA,99,0.9964149552421971,0.734747613087428,29051,MN
JACKSON,99,0.9957973051051534,0.6829969394653973,6294,MN
KANABEC,98,0.9988241319204272,0.7779166878537699,10163,MN
KANDIYOHI,99,0.9984717898555032,0.695237828027842,25535,MN
KITTSON,98,0.9936304543140694,0.49582616513076394,2818,MN
KOOCHICHING,99,0.9977600462481088,0.8867320431934088,7468,MN
LAC QUI PARLE,99,0.993365494378018,0.7282022418355995,4262,MN
LAKE,99,0.9977248178253699,0.6833294598618261,7590,MN
LAKE OF THE WOODS,98,0.9952575051556848,0.6382619573294203,2604,MN
LE SUEUR,99,0.999053477786572,0.5849816381351699,18347,MN
LINCOLN,99,0.9918562317610575,0.6078798050251731,3434,MN
LYON,99,0.9980324942824661,0.6614567210194325,14094,MN
MAHNOMEN,99,0.9688441142389961,0.7058733579646281,2827,MN
MARSHALL,99,0.9964640634616823,0.7056091078430671,5552,MN
MARTIN,99,0.9970626233070841,0.8704035316320223,11836,MN
MCLEOD,99,0.9988681586159622,0.8602952057990696,22835,MN
MEEKER,99,0.9985763462857262,0.5468767901375176,14435,MN
MILLE LACS,99,0.9979123061641546,0.6597228868693319,16126,MN
MORRISON,99,0.9990877443051687,0.634755773164261,21226,MN
MOWER,99,0.9970112564782432,0.6438947033566708,21597,MN
MURRAY,99,0.9968687841415361,0.6138432899882397,5318,MN
NICOLLET,99,0.9986873470524232,0.6039547158341722,20860,MN
NOBLES,99,0.993495898726848,0.7702716229083952,9795,MN
NORMAN,99,0.9947033365545621,0.6535526097338075,3721,MN
OLMSTED,99,0.9990367244393026,0.6390217766196344,100070,MN
OTTER TAIL,99,0.9993185164002123,0.6585445683374439,39066,MN
PENNINGTON,99,0.9974147267585861,0.5398863912851877,7916,MN
PINE,99,0.9989024643844762,0.5819436663351805,17400,MN
PIPESTONE,99,0.9953987708917907,0.7836167666736269,5402,MN
POLK,99,0.998502597331121,0.6091863868784351,17171,MN
POPE,98,0.998298950883158,0.7576072913602085,7448,MN
