county,max_age,r_count,r_rate,n_registered,state
BEAVERHEAD,98,0.9960905269415206,0.8081292238217437,6459,MT
BIG HORN,99,0.9717562462537671,0.7543703874133424,7004,MT
BLAINE,99,0.9888945524218697,0.6121709476785161,3793,MT
BROADWATER,95,0.991482176288831,0.7586366711474599,4755,MT
CARBON,99,0.9978271319237796,0.8458564588578489,7770,MT
CARTER,96,0.9896165846414279,0.5021168626502882,930,MT
CASCADE,99,0.9992396401744433,0.8458296238813569,45767,MT
CHOUTEAU,98,0.9881692457349063,0.6421248248817082,3495,MT
CUSTER,99,0.9966033244717507,0.8302974572346586,6732,MT
DANIELS,99,0.9884012830943537,0.5359696521459497,1121,MT
DAWSON,99,0.9949577789865925,0.36502401309600185,5410,MT
DEER LODGE,99,0.9967734587820434,0.8136665392441087,5566,MT
FALLON,97,0.9935528860617973,0.4625820244736887,1751,MT
FERGUS,99,0.996837965687591,0.7042231337211883,7289,MT
FLATHEAD,99,0.9985147103241258,0.8674372504738979,70506,MT
GALLATIN,99,0.9984910417844689,0.7204624367778386,80978,MT
GARFIELD,97,0.9848885280153591,0.39605534051405916,868,MT
GLACIER,98,0.9781934612037703,0.6930521821597403,7935,MT
GOLDEN VALLEY,99,0.9832508056381943,0.40403330674971033,568,MT
GRANITE,98,0.9960171908550468,0.4694592039801063,2282,MT
HILL,99,0.9949767212072077,0.6812502878133411,8596,MT
JEFFERSON,97,0.9987625080309696,0.7412225659693217,8925,MT
JUDITH BASIN,97,0.9930640885416389,0.3643098849640989,1445,MT
LAKE,99,0.9969440892341502,0.8649431860324712,19230,MT
LEWIS AND CLARK,99,0.9988050673152149,0.9133548732550741,47228,MT
LIBERTY,98,0.9918410009128416,0.38701195245369796,1163,MT
LINCOLN,98,0.9984667317055054,0.9369833782435879,13366,MT
MADISON,99,0.9984103022334658,0.4767780576085118,6613,MT
MCCONE,99,0.9869181496936379,0.1718820972965014,1182,MT
MEAGHER,95,0.9924252095747019,0.577443008327604,1242,MT
MINERAL,99,0.9955675564469739,0.4548517189588365,3032,MT
MISSOULA,99,0.9988042351050751,0.9061661691911073,81950,MT
MUSSELSHELL,99,0.9961018984725742,0.5579804232541609,3252,MT
PARK,98,0.9977188067534256,0.7574394797640286,12892,MT
PETROLEUM,95,0.9775034365077196,0.38765947377113646,378,MT
PHILLIPS,99,0.9935201462971579,0.6547758957554612,2650,MT
PONDERA,99,0.9902649467196618,0.5316316529194318,3566,MT
POWDER RIVER,98,0.9914406923392157,0.3371718862802587,1246,MT
POWELL,98,0.9945498445105488,0.6784014805334647,3634,MT
PRAIRIE,96,0.9897784777778582,0.44574297094120957,800,MT
RAVALLI,99,0.999235427945476,0.8703421442169625,31376,MT
RICHLAND,99,0.9957698860254194,0.7855775902175839,6884,MT
ROOSEVELT,99,0.961798804172304,0.7770401699182655,5603,MT
ROSEBUD,99,0.9875850326701224,0.645620411058444,4711,MT
SANDERS,99,0.9984391616275842,0.6597662279884945,8614,MT
SHERIDAN,99,0.9929429316766608,0.45631296821460715,2339,MT
SILVER BOW,99,0.9974825774205872,0.9045121219180909,21699,MT
STILLWATER,99,0.9979594242200789,0.7614605041310808,6352,MT
SWEET GRASS,99,0.9946997729451605,0.42685437870434434,2662,MT
TETON,99,0.9959438528753759,0.3950557426379161,3980,MT
TOOLE,99,0.9923209060556174,0.6771228273545936,2458,MT
TREASURE,99,0.9785323071783075,0.394867809208761,505,MT
VALLEY,98,0.9979153219452159,0.6765323512814734,4814,MT
WHEATLAND,99,0.9885491799971595,0.3108874882555151,1206,MT
WIBAUX,97,0.9779200580502287,0.4213440584580683,663,MT
YELLOWSTONE,99,0.999005963880802,0.887069108305957,95824,MT
