county,max_age,r_count,r_rate,n_registered,state
ALAMANCE,100,0.9965831331428692,0.8155514859474309,104668,NC
ALEXANDER,100,0.9976943538446988,0.7582610847571519,23697,NC
ALLEGHANY,99,0.9971417146710805,0.7762624705348287,7132,NC
ANSON,100,0.9913550871621537,0.7922041325426951,14510,NC
ASHE,99,0.9975197585117301,0.7774329984791372,18251,NC
AVERY,98,0.995688009175285,0.7794227246486032,10824,NC
BEAUFORT,99,0.9987928474504085,0.8722783802774728,30654,NC
BERTIE,99,0.9962062012151819,0.8137502338181616,11959,NC
BLADEN,99,0.9976733814703981,0.8439217783586047,20337,NC
BRUNSWICK,99,0.9987224157582502,0.9191635732957333,107124,NC
BUNCOMBE,100,0.9971400991620399,0.771212569882135,184438,NC
BURKE,100,0.9980058471270946,0.8073217698191588,54124,NC
CABARRUS,99,0.9975572876974285,0.8480454515676176,139013,NC
CALDWELL,99,0.9983581144388576,0.8734056519910703,50819,NC
CAMDEN,99,0.9946811782895173,0.7513561867251094,6863,NC
CARTERET,99,0.9990553194454096,0.8407039054415949,48610,NC
CASWELL,99,0.99706095896763,0.823662668974437,14339,NC
CATAWBA,99,0.9983525604053625,0.8910422080724789,100842,NC
CHATHAM,100,0.9975147479615983,0.751898039267285,54562,NC
CHEROKEE,99,0.9980895181132595,0.8200758141327041,19421,NC
CHOWAN,99,0.9966903127811448,0.825712290211994,9066,NC
CLAY,99,0.9970107219642517,0.770794600563431,8197,NC
CLEVELAND,99,0.9982420829153543,0.8773321526677355,62480,NC
COLUMBUS,99,0.9953132428019357,0.8777369404877822,33386,NC
CRAVEN,99,0.996246105106974,0.8698714005468221,63004,NC
CUMBERLAND,100,0.9929508881993437,0.824095970538566,182013,NC
CURRITUCK,97,0.9977596010636324,0.7825333810203726,18824,NC
DARE,99,0.9986099280446816,0.8062657712376379,27338,NC
DAVIDSON,99,0.9985555935679741,0.8911208842882872,106919,NC
DAVIE,99,0.9979191676169482,0.8354315593746222,29542,NC
DUPLIN,99,0.9944016190283617,0.9183086761070833,28574,NC
DURHAM,100,0.9940422191935416,0.7269445646857965,207488,NC
EDGECOMBE,99,0.9929679399092637,0.8301395161371925,32041,NC
FORSYTH,99,0.9970228071153265,0.8832698234499623,243945,NC
FRANKLIN,99,0.9979315415963297,0.8650269309343288,44905,NC
GASTON,99,0.9985475222638729,0.904702030857121,140621,NC
GATES,99,0.9962256081692106,0.8344604741011836,7202,NC
GRAHAM,99,0.9912667917476462,0.6969633618486996,5556,NC
GRANVILLE,99,0.9976738142434419,0.8687384790620296,37352,NC
GREENE,99,0.9971284285437301,0.7388441263303107,10221,NC
GUILFORD,99,0.9970356654283172,0.8882096886802324,345297,NC
HALIFAX,99,0.9913265566041828,0.8996535999026377,33483,NC
HARNETT,100,0.9970155629291716,0.7665892693616388,72415,NC
HAYWOOD,99,0.9982074365715744,0.8295775297440208,42629,NC
HENDERSON,99,0.9984219188575224,0.8657784622252315,79048,NC
HERTFORD,99,0.9910200033154396,0.8497485096311153,13238,NC
HOKE,99,0.9872002125660315,0.838210666422527,28480,NC
HYDE,98,0.9934130704420473,0.6056757022750244,2787,NC
IREDELL,99,0.9980977736152953,0.8854068881583619,121827,NC
JACKSON,100,0.9803982912338897,0.7117657638864471,25660,NC
JOHNSTON,100,0.9980688351550472,0.8056100934902637,135251,NC
JONES,99,0.9945117063102569,0.7506105708526339,6476,NC
LEE,99,0.9966132363494979,0.8036047720199551,35578,NC
LENOIR,99,0.9963803093293179,0.8905744204483694,34091,NC
LINCOLN,99,0.9983618659127943,0.8801163333856318,59672,NC
MACON,99,0.9978239098228012,0.8658528920304446,24238,NC
MADISON,99,0.9952053718341536,0.662696019855593,15334,NC
MARTIN,99,0.9962802385750787,0.8710478434951912,15144,NC
MCDOWELL,99,0.9983319563586298,0.8666432786509621,27560,NC
MECKLENBURG,99,0.9980134447909655,0.8736236786283138,692074,NC
MITCHELL,99,0.9960489972541703,0.6978520072952333,10265,NC
MONTGOMERY,99,0.9964486359940975,0.8571527080784411,15655,NC
MOORE,99,0.9975753729067581,0.8472851289668291,67610,NC
NASH,99,0.997468590579517,0.8914381439756618,62927,NC
NEW HANOVER,99,0.9972532819254679,0.883540693528865,156945,NC
NORTHAMPTON,99,0.995189403077443,0.794176211056183,12268,NC
ONSLOW,99,0.9855249386774405,0.907891754251189,92479,NC
ORANGE,99,0.9828011917590077,0.7523658872929228,96586,NC
PAMLICO,99,0.9981600163411272,0.7306012083439194,8502,NC
PASQUOTANK,99,0.9953025519711242,0.8962504167968326,24652,NC
PENDER,99,0.9967288253402741,0.895027318776355,41517,NC
PERQUIMANS,99,0.9968859258831315,0.7935824658993329,8882,NC
PERSON,99,0.9983317988893342,0.7985729855788808,25892,NC
PITT,99,0.9974066073992625,0.8564845798691383,106239,NC
POLK,99,0.9973542680226124,0.8408725186518085,14365,NC
RANDOLPH,99,0.9979410133726588,0.8821476873484956,88886,NC
RICHMOND,99,0.9930744082640275,0.9092309485686991,25733,NC
ROBESON,99,0.9816636112156963,0.9180928553000032,65604,NC
ROCKINGHAM,99,0.9987949410943896,0.8664518594952952,57458,NC
ROWAN,99,0.9958543210710766,0.878616513239111,90672,NC
RUTHERFORD,99,0.998331348239806,0.882316906387981,41941,NC
SAMPSON,99,0.9966760623051252,0.8946571394087591,35355,NC
SCOTLAND,99,0.9844391560838275,0.8527223746760206,19002,NC
STANLY,99,0.9984194207301057,0.8711530314797288,40710,NC
STOKES,99,0.9979475789061967,0.7517414481620397,30137,NC
SURRY,99,0.9987029589728593,0.8680270039681945,44288,NC
SWAIN,99,0.9946673401404401,0.8565642946303539,8706,NC
TRANSYLVANIA,99,0.9961355564671414,0.8605884277059742,23774,NC
TYRRELL,98,0.9920717941862638,0.5619655338329065,2063,NC
UNION,100,0.9957126278700879,0.7635233188316001,150992,NC
VANCE,99,0.988917048422291,0.9125055187630398,26690,NC
WAKE,99,0.9950223503451783,0.8148027427478699,725283,NC
WARREN,100,0.9963666584566138,0.8110362377333156,12312,NC
WASHINGTON,98,0.9926070964831225,0.8552605323521514,7577,NC
WATAUGA,99,0.9711372721068973,0.7507121410014292,37865,NC
WAYNE,99,0.9943106348176448,0.883575728553665,68453,NC
WILKES,99,0.9975708958814408,0.8508033612620719,41610,NC
WILSON,99,0.9952308416741931,0.9219665859411531,50947,NC
YADKIN,99,0.9976443645603685,0.8399819466218518,23321,NC
YANCEY,99,0.994014582623849,0.6960900527501483,13148,NC
