county,max_age,r_count,r_rate,n_registered,state
ADAMS,99,0.9922238202124514,0.9296000178095827,19068,NE
ANTELOPE,99,0.9911587681373873,0.8024485074365372,4380,NE
ARTHUR,94,0.9463031709888498,0.24490553401492068,324,NE
BANNER,97,0.9538837354147437,0.6321433141252459,527,NE
BLAINE,97,0.9581711986251336,0.3053825580090147,359,NE
BOONE,99,0.9917103242728635,0.6449271599026023,3608,NE
BOX BUTTE,99,0.9914124749922052,0.8552506782629591,7130,NE
BOYD,98,0.9837501051887791,0.3830768283148342,1334,NE
BROWN,99,0.9840873630727879,0.6896993501001009,2043,NE
BUFFALO,99,0.9968046872129567,0.9585949067860965,29869,NE
BURT,99,0.9876830330415303,0.7296316392960134,4729,NE
BUTLER,99,0.9937520520949154,0.7598186162067119,5538,NE
CASS,99,0.998656085784284,0.9227499017248967,18544,NE
CEDAR,99,0.9951562483851301,0.6961898199242712,5655,NE
CHASE,99,0.9869738683448259,0.7830168238052644,2404,NE
CHERRY,99,0.9924152077926154,0.6241958404869712,3735,NE
CHEYENNE,99,0.9903209430401761,0.7295701999375428,6046,NE
CLAY,99,0.9933596562493274,0.6430508012304291,4106,NE
COLFAX,99,0.9849286083138472,0.7667562390794743,5120,NE
CUMING,99,0.9927192877228622,0.7827097227402761,5550,NE
CUSTER,99,0.9920301841316506,0.7724484223820031,7672,NE
DAKOTA,99,0.9717587898174431,0.8436503349016655,10383,NE
DAWES,99,0.9883708720092368,0.8695908315614193,5030,NE
DAWSON,99,0.9852074410085011,0.8209361711434205,13174,NE
DEUEL,99,0.9743011386632731,0.5243202023588546,1314,NE
DIXON,99,0.9899852398489469,0.6186442441139024,3649,NE
DODGE,99,0.9961202963508181,0.9497785667970766,21494,NE
DOUGLAS,100,0.999411002069903,0.9657343073933066,349216,NE
DUNDY,99,0.9772796139775423,0.392554343149216,1169,NE
FILLMORE,99,0.9870156815239592,0.7378561864232897,3880,NE
FRANKLIN,99,0.9763210635573345,0.6221430983877315,2132,NE
FRONTIER,99,0.9807179186955358,0.5393486564103029,1764,NE
FURNAS,99,0.9813606996996281,0.7365006094718831,3325,NE
GAGE,99,0.9949296975805695,0.8888375549048823,13892,NE
GARDEN,98,0.9902055953905082,0.5021933237630325,1355,NE
GARFIELD,98,0.9770132236775255,0.5195886935246462,1250,NE
GOSPER,98,0.9781627038926923,0.6464562801180154,1387,NE
GRANT,96,0.9709770307439557,0.37117940705868974,456,NE
GREELEY,98,0.9781227479215,0.6718983811093746,1529,NE
HALL,99,0.9907307981502761,0.9575319201717813,33177,NE
