county,max_age,r_count,r_rate,n_registered,state
ATLANTIC,100,0.9941813462611094,0.8487602133157229,193901,NJ
BERGEN,100,0.9909523782420351,0.8376599976313839,638332,NJ
BURLINGTON,100,0.9923668421579543,0.8433100128402096,332240,NJ
CAMDEN,100,0.9951112015493021,0.9068030598974961,370345,NJ
CAPE MAY,100,0.9948199189373821,0.797922630624334,72144,NJ
CUMBERLAND,99,0.9860440018592227,0.7596469395692542,91777,NJ
ESSEX,100,0.9938249548041289,0.8708397642003918,524947,NJ
GLOUCESTER,100,0.9937656796512434,0.8632205130950897,218776,NJ
HUDSON,100,0.9945072557285141,0.8015436637003193,368928,NJ
HUNTERDON,100,0.9900784023553323,0.8374228054965255,100365,NJ
MERCER,100,0.9912561061973192,0.8875137109561867,244190,NJ
MIDDLESEX,100,0.9929689872262587,0.8824030821557719,529129,NJ
MONMOUTH,100,0.9917227607480255,0.828857996871527,473048,NJ
MORRIS,100,0.988264726490278,0.7306735361850422,370377,NJ
OCEAN,100,0.994160496505728,0.5557015801108641,437380,NJ
PASSAIC,100,0.995498422005813,0.8665700674241723,312710,NJ
SALEM,100,0.9895978256039882,0.6138810017542156,46662,NJ
SOMERSET,100,0.9900422713835796,0.5845688194410538,237222,NJ
SUSSEX,99,0.9932622586345236,0.801973914320085,110000,NJ
UNION,100,0.9957598466739611,0.8388446155662659,340549,NJ
WARREN,100,0.9940441872457895,0.8355015244221047,79415,NJ
