county,max_age,r_count,r_rate,n_registered,state
BERNALILLO,99,0.9957382414341296,0.803236682827,391581,NM
CATRON,99,0.9969837230506189,0.7307417764711865,2752,NM
CHAVES,99,0.9930075531941053,0.8470924714297383,30953,NM
CIBOLA,99,0.9887324272950812,0.8834565689089687,14039,NM
COLFAX,99,0.9938923022134104,0.8071229824221794,7841,NM
CURRY,99,0.9878145713574593,0.8352565034017335,22202,NM
DEBACA,99,0.975437052068537,0.6344031633842271,1179,NM
DONA ANA,100,0.9935404242823286,0.80166440624931,115583,NM
EDDY,99,0.995874753509715,0.8157562375346387,31472,NM
GRANT,99,0.9970983717044358,0.8399331096511099,18405,NM
GUADALUPE,99,0.9779530018908154,0.6598616313742822,3182,NM
HARDING,96,0.9518534149019527,0.5124906423505844,606,NM
HIDALGO,99,0.9648638970053535,0.6653919477169413,2817,NM
LEA,99,0.9948014910855957,0.8685611268047221,32613,NM
LINCOLN,99,0.9983473443049887,0.8195247427273673,12805,NM
LOS ALAMOS,99,0.9871461051062045,0.8591121818353824,13736,NM
LUNA,99,0.9850053970006003,0.9324828693871611,11843,NM
MCKINLEY,99,0.9912054516368818,0.8893235660747975,41595,NM
MORA,99,0.9912006709974626,0.7784995974847422,3525,NM
OTERO,99,0.9926159155336411,0.8895653535664919,32155,NM
QUAY,99,0.9916525893203872,0.7863983205899314,5134,NM
RIO ARRIBA,99,0.9948274829733889,0.8625717683886722,24366,NM
ROOSEVELT,99,0.9782660061867023,0.7402520667557825,9727,NM
SAN JUAN,99,0.996387453291768,0.832570150864796,69214,NM
SAN MIGUEL,99,0.9880165392163828,0.877595745342203,17187,NM
SANDOVAL,99,0.9991166433148316,0.8462126135921697,95044,NM
SANTA FE,100,0.999398951042253,0.824516293655061,97798,NM
SIERRA,99,0.9974232899054032,0.8241046845152088,7463,NM
SOCORRO,99,0.9888320412542614,0.8213284409272057,10173,NM
TAOS,99,0.9969390883254887,0.8747251641368957,23801,NM
TORRANCE,99,0.9964462441304309,0.6932668945688315,9224,NM
UNION,99,0.9754256719116561,0.7872031467407187,2343,NM
VALENCIA,99,0.9987169101231566,0.8675801084775809,42055,NM
