county,max_age,r_count,r_rate,n_registered,state
CARSON CITY,99,0.9974149480869164,0.8435459694416053,36518,NV
CHURCHILL,99,0.9940672414119597,0.7815033920655406,15992,NV
CLARK,99,0.9996092141398264,0.9926452365490586,1363759,NV
DOUGLAS,99,0.9989574750446332,0.9656875461813625,39449,NV
ELKO,99,0.9938475434542369,0.8051141947443452,28840,NV
ESMERALDA,98,0.9500200208983723,0.01570246155012178,631,NV
EUREKA,94,0.9724485236257361,0.3673851293798539,1187,NV
HUMBOLDT,98,0.992887322657444,0.7899044917880234,9869,NV
LANDER,99,0.9804997958150379,0.6595698972825211,3200,NV
LINCOLN,99,0.9761290892029572,0.7005830147383124,3153,NV
LYON,99,0.9975880353486777,0.9381756267579777,39841,NV
MINERAL,99,0.9852403414741374,0.7224027412187134,3171,NV
NYE,99,0.9982272886191498,0.9503403899952618,33777,NV
PERSHING,98,0.9861842662590302,0.7116540734727209,3067,NV
STOREY,99,0.9950346643080955,0.700441521076391,3503,NV
WASHOE,99,0.9964199237686215,0.9833717997011155,312948,NV
WHITE PINE,99,0.9764368886131835,0.551613350069769,5528,NV
