county,max_age,r_count,r_rate,n_registered,state
ALBANY,99,0.9965404653375761,0.6902231050287784,199668,NY
ALLEGANY,99,0.988487225592391,0.5227220776670912,26190,NY
BRONX,99,0.997282082080855,0.9015338962229046,812549,NY
BROOME,99,0.979036244669499,0.6591228520871197,123090,NY
CATTARAUGUS,99,0.992709792710916,0.6782950078406409,46265,NY
CAYUGA,99,0.9942389144969366,0.6562545198879666,48012,NY
CHAUTAUQUA,99,0.9902565820163391,0.6582209420154228,78285,NY
CHEMUNG,99,0.9892865467466677,0.5775681181194412,51922,NY
CHENANGO,99,0.9911286184522873,0.7011173151217396,30369,NY
CLINTON,99,0.9921925961288418,0.6116954127907699,49166,NY
COLUMBIA,99,0.9957937711258643,0.6717778295481421,44930,NY
CORTLAND,99,0.9807684022739771,0.5642304877496124,29241,NY
DELAWARE,99,0.99567665043763,0.6669009504038738,29069,NY
DUTCHESS,99,0.9940974444514145,0.7375548866783931,196062,NY
ERIE,99,0.9958575110305267,0.7539557689716291,637003,NY
ESSEX,99,0.9922031275924084,0.5827524895070799,25562,NY
FRANKLIN,99,0.9937108639319387,0.7106785538233731,24051,NY
FULTON,99,0.9908381507303928,0.7068682450749536,32618,NY
GENESEE,99,0.991974870348833,0.6313969590348145,38146,NY
GREENE,99,0.9965298501769466,0.6747427671286358,32299,NY
HAMILTON,99,0.9900345585304686,0.4593912647251819,4227,NY
HERKIMER,99,0.9913418768067914,0.8987547294233831,40209,NY
JEFFERSON,99,0.9850091767241278,0.6362778780938422,58530,NY
KINGS,99,0.9850160486055018,0.7970191203642343,1582836,NY
LEWIS,99,0.9887163599883904,0.7677361441316594,17716,NY
LIVINGSTON,99,0.9913490205641275,0.5950298226195937,40358,NY
MADISON,99,0.9942966262077201,0.6408798794102293,43102,NY
MONROE,99,0.9818650712106335,0.8244331700684452,491165,NY
MONTGOMERY,99,0.9875911893836338,0.560168723265122,29333,NY
NASSAU,99,0.995892609349157,0.8430574617834099,1018163,NY
NEW YORK,99,0.9911299416238402,0.8641863250042007,1091474,NY
NIAGARA,99,0.9927824620736525,0.7484412637439087,140119,NY
ONEIDA,99,0.9947244697636646,0.6328592289655379,132456,NY
ONONDAGA,99,0.9951042126540869,0.6858348242104149,303106,NY
ONTARIO,99,0.9928695010778004,0.703888329483713,76099,NY
ORANGE,99,0.994419568842154,0.7424746015794259,241911,NY
ORLEANS,99,0.9932321764288694,0.725798208466164,23940,NY
OSWEGO,99,0.9957884842440043,0.7136701737723585,73295,NY
OTSEGO,99,0.9922848853612108,0.6882693171328185,35230,NY
PUTNAM,99,0.9973182252473768,0.8038882753965563,69512,NY
QUEENS,99,0.9923866057143369,0.8410716132764263,1276897,NY
RENSSELAER,99,0.9973748161285937,0.7213953072821203,104140,NY
RICHMOND,99,0.9946037632736936,0.8840998499497876,320209,NY
ROCKLAND,99,0.9971215271035077,0.7449384340338661,203190,NY
SARATOGA,99,0.9961680421284159,0.7560640058617288,164712,NY
SCHENECTADY,99,0.9942288795020664,0.7514701083369635,100448,NY
SCHOHARIE,99,0.9924545985702389,0.16526250614299332,20243,NY
SCHUYLER,99,0.9898845395297057,0.5459723900544249,12367,NY
SENECA,99,0.9903574117716686,0.5052168019975044,20048,NY
ST. LAWRENCE,99,0.9916705268583561,0.6195292110659061,61594,NY
STEUBEN,99,0.9955284962292562,0.616423902971567,60679,NY
SUFFOLK,99,0.9981584767517834,0.8475011412194147,1034156,NY
SULLIVAN,99,0.9843319036904834,0.7544685912764446,49993,NY
TIOGA,99,0.9949356241431402,0.7370487651193492,31671,NY
TOMPKINS,99,0.9773692494425561,0.6018611210838365,57424,NY
ULSTER,99,0.9953537251972899,0.6609530429165507,125665,NY
WARREN,99,0.9934078822226902,0.5826768908657394,46177,NY
WASHINGTON,99,0.9945159142130572,0.6367654359279767,37463,NY
WAYNE,99,0.9957291062767125,0.6994662396683095,58513,NY
WESTCHESTER,99,0.9976594769939998,0.8053425378157156,623342,NY
WYOMING,99,0.9944254487328962,0.721304323776552,25561,NY
YATES,99,0.9862243827600446,0.6352154650717411,13951,NY
