county,max_age,r_count,r_rate,n_registered,state
ADAMS,99,0.9953403488692222,0.706332749157946,16128,OH
ALLEN,99,0.9936912734169041,0.8132096071374039,63632,OH
ASHLAND,99,0.9983447594777356,0.7484035479981257,33582,OH
ASHTABULA,99,0.9960788826539204,0.8303174501561459,57721,OH
ATHENS,99,0.9540186619196475,0.7756693181689032,36510,OH
AUGLAIZE,99,0.996630244687154,0.6893302420736315,31011,OH
BELMONT,99,0.998495985203939,0.7704747788120804,42557,OH
BROWN,99,0.9984403343966354,0.7286949178191118,27276,OH
BUTLER,99,0.9986456093210133,0.7651454486362641,240744,OH
CARROLL,99,0.9972562632238445,0.7107178103725608,17556,OH
CHAMPAIGN,99,0.9972439967482627,0.7182316613246408,25266,OH
CLARK,99,0.9950844800823968,0.8137479046513427,85600,OH
CLERMONT,99,0.9987027528687642,0.7075444880014776,136938,OH
CLINTON,99,0.9979866108183791,0.7289207260648161,26209,OH
COLUMBIANA,99,0.9990775809169931,0.7478542518668845,62746,OH
COSHOCTON,99,0.9963638020367686,0.7805665320835603,21882,OH
CRAWFORD,99,0.9971765100029831,0.7618031404822698,26832,OH
CUYAHOGA,99,0.9992423725347994,0.7703895982193971,840578,OH
DARKE,99,0.9972909843346517,0.6870976519605164,32824,OH
DEFIANCE,99,0.9961294624147314,0.7336125602396328,24854,OH
DELAWARE,99,0.994474139420085,0.5931978966172248,144926,OH
ERIE,99,0.9980582917118905,0.7981039413672231,51203,OH
FAIRFIELD,99,0.9981410206196463,0.7020981595387148,104427,OH
FAYETTE,99,0.996859231726268,0.6702910767475081,16401,OH
FRANKLIN,99,0.9969773062203108,0.6907998213680074,818349,OH
FULTON,99,0.9979220682300926,0.7175207199313072,28149,OH
GALLIA,99,0.9964841514782005,0.7201574253905306,17929,OH
GEAUGA,99,0.9962029465971421,0.6049048913899666,65127,OH
GREENE,100,0.9971954707114241,0.6460229092074348,111015,OH
GUERNSEY,99,0.9968616575589536,0.7334919331062101,23194,OH
HAMILTON,99,0.9990783045044997,0.7275135592278474,556648,OH
HANCOCK,99,0.9981974003000343,0.7243521697576853,48569,OH
HARDIN,99,0.995524358369535,0.8841734956307415,17283,OH
HARRISON,99,0.9960196207239324,0.7359881139345275,9608,OH
HENRY,99,0.9956162234121438,0.7409399862410803,18857,OH
HIGHLAND,99,0.9972261143060743,0.732318471741798,25911,OH
HOCKING,99,0.9976482857387469,0.7241802329264337,17763,OH
HOLMES,99,0.9910910185387443,0.5395738248526162,17565,OH
HURON,99,0.9973127039153115,0.7746288449560783,34978,OH
JACKSON,99,0.9964228933160857,0.6792065820851256,20033,OH
JEFFERSON,99,0.9934217326870309,0.8115490619273841,44403,OH
KNOX,99,0.9855089234217826,0.7585492890955252,39904,OH
LAKE,99,0.998018687903961,0.6963966371770635,157750,OH
LAWRENCE,99,0.9965403927193547,0.7221184702816756,40146,OH
LICKING,99,0.9974698897903534,0.7618415074613433,118470,OH
LOGAN,99,0.9967819844697358,0.7732666438439051,30773,OH
LORAIN,99,0.9949158011070107,0.8105742909898429,207976,OH
LUCAS,99,0.9942565658517335,0.804772642423284,277455,OH
MADISON,99,0.9981565390725036,0.6681825717424704,24822,OH
MAHONING,99,0.99612340611342,0.8005655598218806,156027,OH
MARION,99,0.9910243872144217,0.8052957938271084,38082,OH
MEDINA,99,0.9961727448153912,0.628374524594718,125299,OH
MEIGS,99,0.997664363015947,0.8550507084083862,14221,OH
MERCER,99,0.9933142246094878,0.6006800657348634,28276,OH
MIAMI,99,0.9983790374932277,0.7192198191341339,72139,OH
MONROE,99,0.9951340869630703,0.642948537771816,8912,OH
MONTGOMERY,100,0.9988942308916771,0.7605564151555567,350687,OH
MORGAN,99,0.9942144362436944,0.6944353940923301,8828,OH
MORROW,99,0.9967746013599896,0.6633408785956202,23851,OH
MUSKINGUM,99,0.997583119268871,0.7760427045074851,52708,OH
NOBLE,99,0.9941118457657818,0.8315753791317779,7782,OH
OTTAWA,99,0.9989938436728082,0.7440107208785379,29143,OH
PAULDING,99,0.9964440210529887,0.6341221049324229,12080,OH
PERRY,99,0.9968526998946583,0.9230599691468033,21718,OH
PICKAWAY,99,0.9966972803923039,0.6878028852456878,34988,OH
PIKE,99,0.9943971542718744,0.7094154749268438,17025,OH
PORTAGE,99,0.9969722146760052,0.7464306837086726,104044,OH
PREBLE,99,0.9981821612840404,0.7180550588317056,27050,OH
