county,max_age,r_count,r_rate,n_registered,state
ADAIR,99,0.9922422080991323,0.8486558429526972,10216,OK
ALFALFA,99,0.9885377639347076,0.7435881448109697,2700,OK
ATOKA,99,0.9928491412840246,0.9149936515540515,7215,OK
BEAVER,99,0.9878666449950062,0.6249724146410582,2655,OK
BECKHAM,99,0.9911625241636294,0.8520081662652692,10526,OK
BLAINE,99,0.9936727482099238,0.7599968714623143,4924,OK
BRYAN,99,0.9941224326178812,0.9517250970462033,21946,OK
CADDO,99,0.9898640638183674,0.7765192525716732,13385,OK
CANADIAN,99,0.9978126289358975,0.8080217621923912,84305,OK
CARTER,99,0.9882217625672405,0.9432930375172734,27833,OK
CHEROKEE,99,0.9954870487867152,0.903662754211895,24156,OK
CHOCTAW,99,0.9912994117356627,0.8906887045922341,8148,OK
CIMARRON,99,0.9782811656282148,0.7075297791605932,1321,OK
CLEVELAND,99,0.9981513075600209,0.9839526915481143,156460,OK
COAL,99,0.9845389789819434,0.7751442641369953,3502,OK
COMANCHE,99,0.9801644466842226,0.9313196830367196,52517,OK
COTTON,99,0.9868023558359327,0.879040042049742,3426,OK
CRAIG,99,0.9942377736895738,0.8998903021893687,7615,OK
CREEK,99,0.9972628754905194,0.9415347225365565,39040,OK
CUSTER,99,0.9901964923599305,0.9614735487129376,14628,OK
DELAWARE,99,0.9979485208987392,0.9383805431249862,22270,OK
DEWEY,98,0.9843734967777628,0.7984083074213316,2851,OK
ELLIS,99,0.977782015518386,0.7478091734251558,2263,OK
GARFIELD,99,0.9971737373499698,0.9591255743388607,28924,OK
GARVIN,99,0.9944970189445522,0.9539849769176735,14734,OK
GRADY,99,0.9970832048552989,0.9530256970684728,32035,OK
GRANT,99,0.9853592823100832,0.7408887185806726,2607,OK
GREER,99,0.9837882309095866,0.8142634820437665,2583,OK
HARMON,99,0.9658551383257982,0.6999365560936377,1284,OK
HARPER,99,0.9824547876938806,0.7305190447172514,1777,OK
HASKELL,99,0.9911229049247248,0.6668812487156605,6530,OK
HUGHES,99,0.9899379350294593,0.8946060839972593,6505,OK
JACKSON,99,0.9937056770602353,0.8701124638508227,10967,OK
JEFFERSON,97,0.9779424327180971,0.8424159665731212,3147,OK
JOHNSTON,99,0.9908456608337086,0.8611059206964363,5642,OK
KAY,99,0.9944612021774363,0.9478201151921559,22711,OK
KINGFISHER,99,0.9889811700772334,0.8709577820355644,7969,OK
KIOWA,99,0.9899246452862333,0.8575642889788997,4483,OK
LATIMER,99,0.9896192952008087,0.8338847335779191,5621,OK
LE FLORE,99,0.9955480285518551,0.9341439381033668,25623,OK
LINCOLN,99,0.9972120729509459,0.9428318874599181,19139,OK
LOGAN,99,0.9957568085818941,0.935682741173678,28174,OK
LOVE,99,0.9845718567309819,0.8853335886216057,5879,OK
MAJOR,99,0.9912642323745823,0.8472367745253765,4111,OK
MARSHALL,99,0.9925156256344991,0.9208335048762929,8261,OK
MAYES,99,0.9967531042934773,0.9397042195797429,21170,OK
MCCLAIN,99,0.9975830268511762,0.9574340801861495,24538,OK
MCCURTAIN,99,0.9941937333610747,0.939574248735235,15113,OK
MCINTOSH,99,0.9940097268988256,0.9075735543111209,11400,OK
MURRAY,99,0.9920505668832584,0.8533593596029244,7549,OK
MUSKOGEE,99,0.99586162144968,0.9660172537358624,34510,OK
NOBLE,99,0.9938653500091236,0.7982210228552072,6172,OK
NOWATA,99,0.9927506427849692,0.8914762390234675,5616,OK
OKFUSKEE,99,0.9916924643761644,0.8632600114043051,5649,OK
OKLAHOMA,99,0.9982691398307381,0.8186901100607433,399662,OK
OKMULGEE,99,0.9952119005755353,0.8238339039841401,19382,OK
OSAGE,99,0.9975708584277967,0.9523092571383637,26359,OK
OTTAWA,99,0.9915452662523985,0.944233734908613,16262,OK
PAWNEE,99,0.9948482131069829,0.9504127852533141,8689,OK
PAYNE,99,0.9919415951631086,0.9565256044984437,38577,OK
PITTSBURG,99,0.9938740020912683,0.9625321543444854,24707,OK
PONTOTOC,99,0.9941248631517798,0.926669240756451,20456,OK
POTTAWATOMIE,99,0.9963571442635683,0.9709022818516743,38086,OK
PUSHMATAHA,99,0.9932591847459941,0.8022897229544085,6362,OK
ROGER MILLS,98,0.9818542991507366,0.7535289033291985,2239,OK
ROGERS,99,0.9977964556406141,0.9420061145747259,56171,OK
SEMINOLE,99,0.9899125777018218,0.9282514772051494,11516,OK
SEQUOYAH,99,0.9953984469312769,0.9219188092827125,21136,OK
STEPHENS,99,0.9964303465803942,0.940321623096832,25162,OK
TEXAS,99,0.9829771213002527,0.887808910039355,7721,OK
TILLMAN,99,0.9835902622788216,0.83802510495715,3715,OK
TULSA,100,0.9988294857784509,0.8106100094976729,344985,OK
WAGONER,99,0.9978067800687889,0.9565739191565154,44536,OK
WASHINGTON,99,0.9958161265422812,0.9537940257041602,30317,OK
WASHITA,99,0.9914918980643858,0.8588250939198615,6068,OK
WOODS,99,0.9887768141158818,0.779180158101304,4443,OK
WOODWARD,99,0.9894075206313298,0.8744131861111432,10065,OK
