county,max_age,r_count,r_rate,n_registered,state
BAKER,99,0.9928171641697352,0.8650984357842801,13580,OR
BENTON,99,0.9944802653447978,0.7290927535466831,64080,OR
CLACKAMAS,99,0.9977805529521901,0.7874516032587161,326748,OR
CLATSOP,99,0.9932139626594069,0.8720364317645961,32968,OR
COLUMBIA,99,0.998617005565431,0.8044567122951327,42690,OR
COOS,99,0.9939237824102698,0.8154237120424583,50023,OR
CROOK,99,0.9966687719901653,0.7497175174862609,20388,OR
CURRY,99,0.9935791165608155,0.8555603429317643,20213,OR
DESCHUTES,99,0.9987364937025656,0.8074824325866465,159668,OR
DOUGLAS,99,0.9932256382406686,0.8800236526227296,90163,OR
GILLIAM,99,0.9724122795356345,0.6188308984603,1540,OR
GRANT,99,0.9920729956864132,0.7698399632409608,6237,OR
HARNEY,99,0.9878021512104757,0.752889528082673,6013,OR
HOOD RIVER,99,0.9966835747017356,0.7729106848703151,17106,OR
JACKSON,99,0.9925177304542309,0.844641626683468,173942,OR
JEFFERSON,99,0.9824096944040103,0.8435365391442426,16886,OR
JOSEPHINE,99,0.9856557324098135,0.8900996957488087,74684,OR
KLAMATH,100,0.9889239715702453,0.8200841488445503,53862,OR
LAKE,98,0.9933511016009151,0.7120864160017324,5853,OR
LANE,99,0.9968695496632302,0.8439213865560111,295386,OR
LINCOLN,99,0.994643848560047,0.8710881216029684,41298,OR
LINN,99,0.998634751225234,0.8300626518799293,98673,OR
MALHEUR,99,0.9594764146569175,0.8268128868478278,18230,OR
MARION,99,0.9982374697146466,0.8478292864172444,227866,OR
MORROW,99,0.9820265528032309,0.6199926722099917,7127,OR
MULTNOMAH,99,0.9970058971631133,0.7472339471532957,631590,OR
POLK,99,0.998038072879327,0.8379833278983264,63090,OR
SHERMAN,96,0.9761712598982196,0.5166594980993409,1543,OR
TILLAMOOK,99,0.9970798702355811,0.8292902274931097,21905,OR
UMATILLA,99,0.9792508076687803,0.8909638855543085,51546,OR
UNION,99,0.9925357061092958,0.821579038857765,21351,OR
WALLOWA,99,0.9948660498693305,0.735184153523078,6157,OR
WASCO,99,0.9923648732358793,0.8264797614363913,19584,OR
WASHINGTON,99,0.9974480849821202,0.7637731085542189,403747,OR
WHEELER,97,0.9761171414021327,0.5913996376795134,1267,OR
YAMHILL,99,0.9986052964590096,0.8125853342867512,77021,OR
