county,max_age,r_count,r_rate,n_registered,state
ADAMS,99,0.9976871281838805,0.6773032998463073,67410,PA
ALLEGHENY,100,0.9990745948081762,0.6848142568020654,871536,PA
ARMSTRONG,99,0.9977619175670701,0.6401248902697526,42842,PA
BEAVER,99,0.9990955083338695,0.6361251396237096,108732,PA
BEDFORD,99,0.9978911656352303,0.5723936796515113,31271,PA
BERKS,99,0.9993523721951768,0.6907432995598357,254662,PA
BLAIR,99,0.9989083252204598,0.6993816186275423,76769,PA
BRADFORD,99,0.9986980775878663,0.6527365266826494,35515,PA
BUCKS,100,0.9981372665744713,0.5507471242143808,458558,PA
BUTLER,100,0.9968198173369734,0.6800767627074779,135342,PA
CAMBRIA,100,0.9996282924189276,0.6904353724213973,82564,PA
CAMERON,97,0.9904486297386982,0.6420764087517102,2930,PA
CARBON,99,0.9976763906199457,0.6951183271694065,42961,PA
CENTRE,99,0.906353579088994,0.6826459664202977,97855,PA
CHESTER,99,0.9979765530650825,0.5703827395081288,352298,PA
CLARION,99,0.9978242676430994,0.6348857999224876,22773,PA
CLEARFIELD,99,0.998860408270713,0.6229983429437564,46531,PA
CLINTON,99,0.9947443734450784,0.6690930882559283,20941,PA
COLUMBIA,99,0.9905774932103427,0.6585617658897578,37361,PA
CRAWFORD,99,0.9967703287423785,0.7183624209268649,52503,PA
CUMBERLAND,100,0.9988706145045938,0.6322963904405586,168378,PA
DAUPHIN,99,0.9992670214079005,0.6508889484424496,179929,PA
DELAWARE,99,0.9991723641799957,0.622606069473775,387540,PA
ELK,99,0.99886034628304,0.6916467749991094,19580,PA
ERIE,99,0.9978112689033256,0.6986322947637033,167710,PA
FAYETTE,100,0.9989275482696984,0.567070359488259,76386,PA
FOREST,99,0.9940866050328049,0.6121381458570777,3200,PA
FRANKLIN,100,0.9990522143574238,0.5973457581775233,93687,PA
FULTON,99,0.9953191144113054,0.5208706263754586,9397,PA
GREENE,99,0.9981323091794174,0.47427699844880666,20995,PA
HUNTINGDON,99,0.9960434996200951,0.7071312018274537,26836,PA
INDIANA,99,0.9969583917309197,0.7250102746224965,49758,PA
JEFFERSON,100,0.994967740641355,0.6892308750717542,29297,PA
JUNIATA,99,0.9966918024930896,0.5435854821289466,13922,PA
LACKAWANNA,100,0.9990295614543886,0.5509869321003404,138815,PA
LANCASTER,100,0.9985305157149237,0.5589848373978874,330763,PA
LAWRENCE,99,0.999034310887622,0.6208788801308206,54047,PA
LEBANON,100,0.999206219062134,0.6288356827155209,86852,PA
LEHIGH,100,0.9986797761791733,0.6966776680759291,229561,PA
LUZERNE,100,0.9959947831696528,0.7595890727337398,202542,PA
LYCOMING,100,0.9990757606382342,0.5804352783958746,68961,PA
MCKEAN,99,0.9980915725570488,0.7240862360005438,23817,PA
MERCER,99,0.9986923818081541,0.675957339380815,68498,PA
MIFFLIN,99,0.9983035622049448,0.669026654824031,26155,PA
MONROE,99,0.9983578551247345,0.6308987671838152,106319,PA
MONTGOMERY,99,0.9961362444298486,0.5349306603691923,574306,PA
MONTOUR,99,0.9923172504971489,0.6441911920677138,12434,PA
NORTHAMPTON,99,0.9974534752687484,0.6972759591334167,206887,PA
NORTHUMBERLAND,99,0.9983245183082093,0.735102246371242,53858,PA
PERRY,99,0.9983023209842561,0.5843877547597249,28411,PA
PHILADELPHIA,100,0.9984778004928055,0.5450041312512997,991308,PA
PIKE,99,0.9984940911679483,0.6892677085340456,39563,PA
POTTER,99,0.9973370215386639,0.5065919099883401,10491,PA
SCHUYLKILL,100,0.9989623856606645,0.7227110127801624,87198,PA
SNYDER,99,0.9918690225616474,0.6448604971616793,22607,PA
SOMERSET,99,0.9991586506736067,0.686445646530741,47149,PA
SULLIVAN,99,0.99578043122499,0.35713089530781206,4139,PA
SUSQUEHANNA,100,0.9990006014869331,0.6868252947132014,25761,PA
TIOGA,99,0.9987645829964787,0.5880747167839172,24489,PA
UNION,99,0.9266853298278508,0.7379861109518631,24878,PA
VENANGO,100,0.9987587175574131,0.6306913240338173,31804,PA
WARREN,99,0.9917577395471374,0.6673398788962428,28416,PA
WASHINGTON,99,0.9991648846259704,0.655798467898575,136834,PA
WAYNE,99,0.9987334749918257,0.5666524506901028,32803,PA
WESTMORELAND,100,0.9992126846578369,0.6389110313494122,238988,PA
WYOMING,99,0.9977473042409281,0.6556393084676738,17576,PA
YORK,100,0.9993856455127538,0.7155227807230673,292194,PA
