county,max_age,r_count,r_rate,n_registered,state
ANDERSON,99,0.9985052648310608,0.7768068034676718,46531,TN
BEDFORD,99,0.997337600084916,0.7477079199995248,25676,TN
BENTON,99,0.9943877410297569,0.7990143382451592,9848,TN
BLEDSOE,99,0.9950407017438053,0.6473326847358433,7791,TN
BLOUNT,99,0.9991644809654981,0.7875230367583226,83901,TN
BRADLEY,99,0.9936351850832623,0.8921014986019874,67256,TN
CAMPBELL,99,0.9945992773205469,0.7395978917087619,23055,TN
CANNON,99,0.9915857174223761,0.755114038473031,8644,TN
CARROLL,99,0.9968340475632026,0.779004381243804,15945,TN
CARTER,99,0.997178577948652,0.7870183856071348,33867,TN
CHEATHAM,99,0.9972411997706941,0.7285097595334404,25599,TN
CHESTER,99,0.9957673008793436,0.7339658232439839,9981,TN
CLAIBORNE,99,0.9952090634676173,0.7765342028474492,17791,TN
CLAY,99,0.9885596666838017,0.7345981411982816,5001,TN
COCKE,99,0.9938685617799586,0.7729955864807508,21349,TN
COFFEE,99,0.9981811250230989,0.736012489698019,32431,TN
CROCKETT,99,0.9914051358699417,0.7955053347689578,8051,TN
CUMBERLAND,99,0.9975488644038526,0.7838746745194402,40737,TN
DAVIDSON,99,0.9915388961521234,0.956191993775281,410018,TN
DECATUR,98,0.9920746213909875,0.794114552411429,6923,TN
DEKALB,99,0.9954113453460702,0.8132234769888527,11789,TN
DICKSON,99,0.9982244884929792,0.8100138412637989,33245,TN
DYER,99,0.992365484922118,0.8096953082736532,20675,TN
FAYETTE,99,0.9984790360805761,0.9189587693814794,29287,TN
FENTRESS,99,0.9959052490091492,0.7868676048219806,11695,TN
FRANKLIN,99,0.9970253399234291,0.8199888739104576,25030,TN
GIBSON,99,0.9958029594312979,0.798268654465778,29219,TN
GILES,99,0.995420674093339,0.76315239608708,17676,TN
GRAINGER,99,0.9953467561532336,0.7637674993649382,13728,TN
GREENE,99,0.9978320472027201,0.7679893245759698,39215,TN
GRUNDY,98,0.9898880799160091,0.5364380368091606,7989,TN
HAMBLEN,99,0.996557530534128,0.7674876149527596,34887,TN
HAMILTON,99,0.9990980780922749,0.7741821960015545,227458,TN
HANCOCK,97,0.9782409013680032,0.5412224067218676,4089,TN
HARDEMAN,99,0.9904375017103999,0.7909282619164368,13489,TN
HARDIN,99,0.996687093581794,0.8171022432762165,15193,TN
HAWKINS,99,0.9982928754795722,0.7363353578767354,32397,TN
HAYWOOD,99,0.9891466068409485,0.626157033264568,10295,TN
HENDERSON,99,0.9973243557428261,0.8176888800265746,16002,TN
HENRY,99,0.9965263966429799,0.8360766338984957,19163,TN
HICKMAN,99,0.9971861410563131,0.8679118673740817,13873,TN
HOUSTON,99,0.9884131270658881,0.7384970313386998,4908,TN
HUMPHREYS,99,0.9888418430116975,0.7783610378967931,11964,TN
JACKSON,98,0.9916725994459262,0.7294489806286963,7497,TN
JEFFERSON,99,0.9982616469964315,0.6745202129581248,30988,TN
JOHNSON,99,0.995985621003776,0.659500426808305,10008,TN
KNOX,99,0.9978379325709585,0.7545823780927767,282271,TN
LAKE,99,0.965090755253997,0.611894172277531,3059,TN
LAUDERDALE,99,0.9898783838441478,0.7726911440103092,12497,TN
LAWRENCE,99,0.9969112217637897,0.7548439174353917,23885,TN
LEWIS,98,0.9920286525305863,0.713436227874012,7513,TN
LINCOLN,99,0.9973585909961544,0.7621571487074692,20390,TN
LOUDON,99,0.9982473034165787,0.7958032980363866,36242,TN
MACON,99,0.9885598811184905,0.733086758543039,13303,TN
MADISON,99,0.993834480984402,0.8612198172510055,58123,TN
MARION,99,0.9965113395531816,0.7702479786785463,17939,TN
MARSHALL,99,0.9976568846612085,0.9164378013423261,19247,TN
MAURY,99,0.998792084177094,0.753584965773728,60443,TN
MCMINN,99,0.9977133221549945,0.7498034931327281,30018,TN
MCNAIRY,99,0.9955630341835677,0.7182359685862828,14571,TN
MEIGS,99,0.9927651032462386,0.5724867374688564,7408,TN
MONROE,99,0.9965766932132087,0.7711480629876513,29306,TN
MONTGOMERY,99,0.9921142235704071,0.8373748057443369,110240,TN
MOORE,99,0.9910626838285852,0.6853439081820633,4777,TN
MORGAN,98,0.9942659401302479,0.709270167555087,11023,TN
OBION,99,0.9963701541599896,0.7909913372355377,17714,TN
OVERTON,98,0.99295725644037,0.5955874476931106,13530,TN
PERRY,99,0.9852619116359306,0.6285550069142596,4836,TN
PICKETT,99,0.9892214404188251,0.5892836161766071,3706,TN
POLK,98,0.9911661587098554,0.7930270711937746,12215,TN
PUTNAM,99,0.9978499000769412,0.7032118634699672,44799,TN
RHEA,99,0.9955321784868697,0.7923631029780687,19071,TN
ROANE,99,0.9989226659155758,0.7715116064911011,33154,TN
ROBERTSON,99,0.9982861150238372,0.7418578528274409,43351,TN
RUTHERFORD,99,0.9988068743977344,0.7803272567869091,185350,TN
SCOTT,99,0.9923316835626621,0.5819095579610648,13394,TN
SEQUATCHIE,98,0.9932265034219221,0.9038658813430372,10277,TN
SEVIER,99,0.9966205641715586,0.8012344244687812,61850,TN
SHELBY,99,0.9907836755885728,0.8661994580247153,554721,TN
SMITH,99,0.9966926963346451,0.7406619410630371,11886,TN
STEWART,99,0.989546692937124,0.8335613999865562,8444,TN
SULLIVAN,100,0.9990297739451232,0.7719789450593794,98004,TN
SUMNER,99,0.9985275816023801,0.7809490203761494,118325,TN
TIPTON,99,0.9963397224926727,0.808209811878132,36774,TN
TROUSDALE,99,0.9912542660092454,0.5391450652750311,5517,TN
UNICOI,99,0.9954268503599095,0.6836150655942543,10571,TN
UNION,99,0.9936402627845446,0.5640112108675943,11351,TN
VAN BUREN,96,0.9890697591430839,0.747763178478443,4168,TN
WARREN,99,0.9969492414493855,0.7239385688955816,21776,TN
WASHINGTON,99,0.9989733086592828,0.78757120543239445,77979,TN
WAYNE,99,0.9899066556798577,0.6950298029320349,9004,TN
WEAKLEY,99,0.9934572302688444,0.7904981422749593,17906,TN
WHITE,99,0.9973637841064397,0.6716731764164428,15761,TN
WILLIAMSON,99,0.9972775912590599,0.7379272120989739,163675,TN
WILSON,99,0.9984031885967265,0.7726256711330306,92223,TN
