county,max_age,r_count,r_rate,n_registered,state
ANDERSON,99,0.9908042058202132,0.9057027687238178,27485,TX
ANDREWS,99,0.9813484725723006,0.8377961113370509,9267,TX
ANGELINA,99,0.9946407154258036,0.8079397695702212,50088,TX
ARANSAS,99,0.9938699466146254,0.740304549624943,16815,TX
ARCHER,98,0.9926084083357238,0.8008797161085861,6175,TX
ARMSTRONG,95,0.9721719148812437,0.6316591115494645,1362,TX
ATASCOSA,99,0.9937581531563632,0.88680818947994,28209,TX
AUSTIN,99,0.9967633422419878,0.914348032124527,19338,TX
BAILEY,98,0.8938432633457951,0.7414879631070959,3227,TX
BANDERA,99,0.9973737435078712,0.8287221093605749,16288,TX
BASTROP,99,0.9977637857783493,0.8614490927065963,49523,TX
BAYLOR,99,0.9780435481701597,0.6578873577882149,2261,TX
BEE,99,0.9793931702619348,0.7838955149640179,14993,TX
BELL,99,0.9903910215889228,0.9385697536960876,191600,TX
BEXAR,99,0.9988561736551114,0.8936718929796205,1101504,TX
BLANCO,99,0.9976011035245795,0.834626448817181,9021,TX
BORDEN,94,0.9581380935838586,0.5971085774331266,453,TX
BOSQUE,99,0.9959470978045759,0.8291481208242412,12074,TX
BOWIE,99,0.991091778063494,0.8795723302763763,54856,TX
BRAZORIA,99,0.9993868204777117,0.8879735669209055,212370,TX
BRAZOS,99,0.9877910138177685,0.8293155282063229,113490,TX
BREWSTER,99,0.9894305480028195,0.8281719793359048,6758,TX
BRISCOE,97,0.9616988273972382,0.5231917014356112,961,TX
BROOKS,99,0.8938998941345665,0.6995890420225551,4909,TX
BROWN,99,0.9906842458861052,0.9050524451840805,22656,TX
BURLESON,99,0.996412910774856,0.822199316647482,11875,TX
BURNET,99,0.9971613346490253,0.869485129013085,32303,TX
CALDWELL,99,0.963183682964457,0.8087492825354914,23705,TX
CALHOUN,99,0.9739774421831673,0.8889854023475607,12130,TX
CALLAHAN,99,0.9936462661263411,0.753174080821997,9284,TX
CAMERON,99,0.9791405643522132,0.9328512021229173,208910,TX
CAMP,99,0.986527582608809,0.8406742246412825,7218,TX
CARSON,99,0.9851887417698351,0.6742403662219407,4008,TX
CASS,99,0.9922049507264412,0.8529869780161318,19257,TX
CASTRO,98,0.9636347671194501,0.5075281963579915,3431,TX
CHAMBERS,99,0.9976727644266895,0.8815376519091807,29978,TX
CHEROKEE,99,0.9916200629634724,0.8467138046434965,27611,TX
CHILDRESS,97,0.9621656219234748,0.6063282815756221,3379,TX
CLAY,99,0.9937562672074322,0.845737877896673,7546,TX
COCHRAN,98,0.9297392413126566,0.3228956376977697,1654,TX
COKE,99,0.9851784078159155,0.6202831706830044,2272,TX
COLEMAN,98,0.9902710024636671,0.7198707242664381,5575,TX
COLLIN,99,0.9979445658574568,0.8489764243741206,616403,TX
COLLINGSWORTH,98,0.9540493131047268,0.5130367670415541,1800,TX
COLORADO,99,0.9946792607631961,0.8150120986694159,13652,TX
COMAL,99,0.9994137854448533,0.8662102892513894,112989,TX
COMANCHE,99,0.9890364962611009,0.8167680746144224,8732,TX
CONCHO,99,0.9832894993251114,0.7521731753761638,1626,TX
COOKE,99,0.996615394980326,0.7590697140033754,25440,TX
CORYELL,99,0.9759694449026132,0.9010765891488951,35276,TX
COTTLE,93,0.9538563900363827,0.6231237477771719,905,TX
CRANE,99,0.9383471373390568,0.46651741110536626,2457,TX
CROCKETT,98,0.9715165315474291,0.7093608098911554,2281,TX
CROSBY,99,0.9414364299771505,0.5909623908998431,3354,TX
CULBERSON,98,0.9412713165498954,0.7604582765510759,1559,TX
DALLAM,97,0.9437856703042375,0.6618447675416769,2601,TX
DALLAS,99,0.9973220919968678,0.873536829695724,1295747,TX
DAWSON,99,0.9451013947256258,0.5879306677147038,6558,TX
DEAF SMITH,99,0.955301687587476,0.6380358905874121,8180,TX
DELTA,99,0.9791169278392926,0.6863895135002015,3648,TX
DENTON,99,0.9982807152438593,0.8523434339823754,532586,TX
DEWITT,99,0.9916201105216954,0.724745598200342,11510,TX
DICKENS,97,0.9736437610838574,0.6681331331604874,1271,TX
DIMMIT,99,0.9366693194750472,0.7238989276497445,6664,TX
DONLEY,98,0.9835536053924837,0.59366812843833,2132,TX
DUVAL,99,0.9780197249474889,0.7798609199773694,7832,TX
EASTLAND,99,0.9909423795895069,0.7792704361687637,11290,TX
ECTOR,99,0.9920919505993152,0.890956579567994,75931,TX
EDWARDS,97,0.9771779119021325,0.7822332230710519,1406,TX
EL PASO,99,0.9944199782773021,0.9223532108238508,453172,TX
ELLIS,99,0.9983889799051273,0.8303277461216196,117203,TX
ERATH,99,0.9974139739897254,0.8543782246007888,22697,TX
FALLS,99,0.9807952125646932,0.8555870151539474,9664,TX
FANNIN,99,0.9946133718138361,0.8686023209943514,21124,TX
FAYETTE,99,0.9972173218329441,0.8500573864344111,16755,TX
FISHER,98,0.9763827898206421,0.6656068690832941,2524,TX
FLOYD,99,0.9331473247077345,0.8748781108537192,3457,TX
FOARD,99,0.9395433303380301,0.4716684427019888,805,TX
FORT BEND,99,0.9978135894497301,0.8581774329291251,470599,TX
FRANKLIN,99,0.9885109109417113,0.8426687917326254,6639,TX
FREESTONE,99,0.9945764970639748,0.8540503646402683,11801,TX
FRIO,99,0.9684710823746113,0.6789314398035926,8396,TX
GAINES,99,0.9874099404501399,0.6157118688727604,9113,TX
GALVESTON,99,0.9985232412767133,0.8608077121924151,211706,TX
GARZA,98,0.9639905208861451,0.5306679200272012,2442,TX
GILLESPIE,99,0.9972299062744402,0.8403877573619842,19534,TX
GLASSCOCK,92,0.9601307419351097,0.4354590197225461,777,TX
GOLIAD,99,0.9903786081858874,0.7852693104559589,5473,TX
GONZALES,99,0.9800979471184955,0.8368569569738831,11871,TX
GRAY,99,0.9822309463501215,0.7786885088100969,11421,TX
GRAYSON,99,0.997393535054018,0.8655199556122476,81720,TX
GREGG,99,0.9940997302269428,0.8782284092776511,68225,TX
GRIMES,99,0.9962901342254449,0.8507747653885963,17294,TX
GUADALUPE,99,0.9983072850993533,0.8885043631733055,105320,TX
HALE,99,0.974996576055731,0.8505003300072783,17005,TX
HALL,98,0.9539223168889932,0.5875879213554258,1712,TX
