county,max_age,r_count,r_rate,n_registered,state
ACCOMACK COUNTY,99,0.9893918011351233,0.6974755486101487,23504,VA
ALBEMARLE COUNTY,99,0.9973986850020359,0.7108554126639312,76718,VA
ALEXANDRIA CITY,99,0.993494717525658,0.6616420771038521,97587,VA
ALLEGHANY COUNTY,99,0.9947538359384155,0.7288377158479786,10586,VA
AMELIA COUNTY,99,0.9968302813483709,0.7309361824820086,9633,VA
AMHERST COUNTY,99,0.9977858260808125,0.740422218254289,21651,VA
APPOMATTOX COUNTY,99,0.9961131607536625,0.7294507911384748,11378,VA
ARLINGTON COUNTY,99,0.9898063717506231,0.6065518397145517,152457,VA
AUGUSTA COUNTY,99,0.9990976928561179,0.7483181913055273,51471,VA
BATH COUNTY,97,0.9865475857986891,0.7246506155198486,3139,VA
BEDFORD COUNTY,99,0.9983610025714266,0.7541772781033261,58516,VA
BLAND COUNTY,100,0.9912446513827693,0.7067426913427808,4397,VA
BOTETOURT COUNTY,99,0.9978004153124443,0.7184158198494943,25095,VA
BRISTOL CITY,99,0.9885677083670068,0.7920924889077453,10950,VA
BRUNSWICK COUNTY,99,0.9914597633460223,0.8658708372501663,10591,VA
BUCHANAN COUNTY,99,0.9937125698663872,0.7142330214133692,14519,VA
BUCKINGHAM COUNTY,99,0.9965274272452463,0.7459970511853448,10423,VA
BUENA VISTA CITY,99,0.9460541354075471,0.6761286069968684,4080,VA
CAMPBELL COUNTY,99,0.9980062684487964,0.7572902816439431,38471,VA
CAROLINE COUNTY,99,0.9977556131393481,0.7415894417848832,21065,VA
CARROLL COUNTY,100,0.9978953226267167,0.8030305354365145,19953,VA
CHARLES CITY COUNTY,99,0.9953744294230465,0.4681830694943465,5523,VA
CHARLOTTE COUNTY,99,0.9926051655785844,0.6490925056860298,8100,VA
CHARLOTTESVILLE CITY,99,0.9750705831410732,0.7020631353565684,31763,VA
CHESAPEAKE CITY,99,0.998079515689201,0.8031859754819974,162291,VA
CHESTERFIELD COUNTY,100,0.9993179889422278,0.6664315316887718,251131,VA
CLARKE COUNTY,99,0.9961495857004243,0.6885021853000299,11080,VA
COLONIAL HEIGHTS CITY,99,0.9907580740700189,0.7234646046340305,12143,VA
COVINGTON CITY,99,0.9851740351963634,0.668592285828281,3610,VA
CRAIG COUNTY,99,0.9897112793236329,0.534836668806903,3827,VA
CULPEPER COUNTY,99,0.9982616919151556,0.7553513272061048,33798,VA
CUMBERLAND COUNTY,99,0.9942198039673735,0.7303959676222906,7000,VA
DANVILLE CITY,99,0.9804027695298252,0.6975141246597867,27239,VA
DICKENSON COUNTY,99,0.9938140608861619,0.5978090787993487,9974,VA
DINWIDDIE COUNTY,99,0.9973479989057895,0.7488836775814549,19802,VA
EMPORIA CITY,99,0.9548677494210797,0.6298687201480863,3681,VA
ESSEX COUNTY,99,0.995136177155476,0.7590541855031292,7862,VA
FAIRFAX CITY,99,0.9895441089505626,0.631152904461947,16376,VA
FAIRFAX COUNTY,100,0.9965681107013356,0.7161317716166183,727320,VA
FALLS CHURCH CITY,99,0.9932816996142507,0.5975185743100472,9853,VA
FAUQUIER COUNTY,99,0.9982960809732415,0.7155123674772734,51879,VA
FLOYD COUNTY,99,0.9968608182442219,0.4857024544739332,11146,VA
FLUVANNA COUNTY,99,0.9980222097673935,0.7321185496439624,19224,VA
FRANKLIN CITY,99,0.9820523415570798,0.7155353678285453,5507,VA
FRANKLIN COUNTY,99,0.9985268272992129,0.766894224370392,37346,VA
FREDERICK COUNTY,99,0.9983058788063802,0.7376282191467198,61332,VA
FREDERICKSBURG CITY,99,0.994422918584737,0.7299669197849973,17506,VA
GALAX CITY,99,0.978664620231853,0.6498452937514403,3706,VA
GILES COUNTY,99,0.9957916693288736,0.6599811411182505,11497,VA
GLOUCESTER COUNTY,99,0.9979377299162101,0.7718814404837957,27929,VA
GOOCHLAND COUNTY,99,0.9982051944909771,0.6584359283050811,19655,VA
GRAYSON COUNTY,99,0.9967705089573989,0.6956301105042105,10313,VA
GREENE COUNTY,98,0.9975076845871159,0.5518197766349457,13902,VA
GREENSVILLE COUNTY,99,0.989678695383813,0.636225392520272,6201,VA
HALIFAX COUNTY,99,0.9959627263286657,0.7767569229850421,23627,VA
HAMPTON CITY,99,0.9623276948348449,0.7855299636221772,94642,VA
HANOVER COUNTY,99,0.9977416220679775,0.7080336627145178,82319,VA
HARRISONBURG CITY,99,0.9776276508926858,0.7327563124402382,24785,VA
HENRICO COUNTY,100,0.9991405956777368,0.7633131873209903,228084,VA
HENRY COUNTY,99,0.9928443648281378,0.7887112821063761,34813,VA
HIGHLAND COUNTY,99,0.9897728890535332,0.30157393544120015,1781,VA
HOPEWELL CITY,99,0.9756022716127444,0.7169951890589783,14311,VA
ISLE OF WIGHT COUNTY,99,0.9983940856109803,0.7954903242632602,28871,VA
JAMES CITY COUNTY,99,0.9977750394445174,0.7321484650193183,58332,VA
KING AND QUEEN COUNTY,99,0.9921593753450594,0.6468268930578912,5173,VA
KING GEORGE COUNTY,99,0.9974284416235185,0.7215903661964549,17811,VA
KING WILLIAM COUNTY,99,0.9949475454401524,0.6477785651758124,13027,VA
LANCASTER COUNTY,99,0.9953408685456346,0.7247809466635554,8654,VA
LEE COUNTY,99,0.9920806284408401,0.7421338243484094,14687,VA
LEXINGTON CITY,99,0.8460967029181314,0.537796428433956,3897,VA
LOUDOUN COUNTY,99,0.9975239861152427,0.6642907447011532,265333,VA
LOUISA COUNTY,100,0.9987908800563524,0.6951522186441701,26876,VA
LUNENBURG COUNTY,99,0.9941066962856774,0.7029400085979494,7709,VA
LYNCHBURG CITY,99,0.9626820833478518,0.7746438363338949,52375,VA
MADISON COUNTY,99,0.9955341666019075,0.6991908963204964,9733,VA
MANASSAS CITY,99,0.9964988106287244,0.5317643852744214,22089,VA
MANASSAS PARK CITY,99,0.9932193962406893,0.4866477388131876,8200,VA
MARTINSVILLE CITY,99,0.9775094541017996,0.6595397620463337,8434,VA
MATHEWS COUNTY,99,0.9953902736910466,0.6923137552997495,6945,VA
MECKLENBURG COUNTY,100,0.9950829332040081,0.6629418361416264,21430,VA
MIDDLESEX COUNTY,99,0.9963109304239981,0.5351592084175095,8197,VA
MONTGOMERY COUNTY,100,0.9861324775090107,0.7845746448052117,58700,VA
