county,max_age,r_count,r_rate,n_registered,state
ADDISON,99,0.9973766337137855,0.7102833955649349,26658,VT
BENNINGTON,99,0.9974703721698525,0.7773145963808399,25498,VT
CALEDONIA,99,0.996490538484261,0.7734645284355431,20737,VT
CHITTENDEN,99,0.9986518130533026,0.7354949494954781,121992,VT
ESSEX,99,0.9854429053798883,0.6050963377700149,4355,VT
FRANKLIN,99,0.997880961729888,0.7580243665238788,34810,VT
GRAND ISLE,99,0.9960754969916032,0.5732337799374978,5745,VT
LAMOILLE,99,0.9976753175643991,0.6432649218236014,18510,VT
ORANGE,99,0.9980840616226674,0.6916317633581086,21042,VT
ORLEANS,99,0.993301021493182,0.7729038347937861,19185,VT
RUTLAND,99,0.9990540357682162,0.7652443255663272,42452,VT
WASHINGTON,99,0.9979862045142055,0.7055152772032833,43417,VT
WINDHAM,99,0.9976512106318727,0.7376791979501753,32696,VT
WINDSOR,99,0.9976516713292053,0.7612251910627675,44328,VT
