county,max_age,r_count,r_rate,n_registered,state
ADAMS,99,0.9856874143976976,0.7770459830354712,7844,WA
ASOTIN,99,0.976563094077079,0.8696182007605514,16090,WA
BENTON,99,0.9972014432596753,0.9570580132049546,128072,WA
CHELAN,99,0.9990482476672965,0.9503835985966397,51648,WA
CLALLAM,99,0.9976797664261869,0.941867993809454,58182,WA
CLARK,99,0.9994974834485126,0.9694114115161366,333658,WA
COLUMBIA,97,0.9930306015405964,0.8340582320292946,2910,WA
COWLITZ,99,0.9972165457472933,0.9156778361034323,74713,WA
DOUGLAS,99,0.9976279549474442,0.9290210586971098,25786,WA
FERRY,97,0.994483374602755,0.7891424772490705,5298,WA
FRANKLIN,99,0.9959231006011843,0.9517533424809849,43445,WA
GARFIELD,99,0.9865944820509998,0.5873410112822,1827,WA
GRANT,99,0.9911344392695982,0.9129091002369845,48910,WA
GRAYS HARBOR,99,0.9923144720536531,0.9434832019370805,49541,WA
ISLAND,99,0.9965741731460372,0.921870928395656,62716,WA
JEFFERSON,99,0.9990331628788849,0.9145040031373641,28291,WA
KING,99,0.9968583950466491,0.8741889581347134,1432518,WA
KITSAP,99,0.9981885036273425,0.9633513310181006,189719,WA
KITTITAS,99,0.9986491308485858,0.8756670810637873,31231,WA
KLICKITAT,99,0.9978846581317776,0.8521025986723789,16194,WA
LEWIS,99,0.9969701167194351,0.9433828208337727,55970,WA
LINCOLN,99,0.9974172332662333,0.7227995324017534,8125,WA
MASON,99,0.9963158699274397,0.935151268883284,45380,WA
OKANOGAN,99,0.9967195228099885,0.9424661519522491,26287,WA
PACIFIC,99,0.9964288521059403,0.830766524003425,17231,WA
PEND OREILLE,99,0.9922242821635255,0.9138174035161059,10972,WA
PIERCE,100,0.9985522532379038,0.9162898113246176,581759,WA
SAN JUAN,99,0.9993216050846999,0.8228445621969639,14742,WA
SKAGIT,99,0.9993975484421252,0.9504740152727176,86340,WA
SKAMANIA,99,0.996956687251182,0.802057465227755,8675,WA
SNOHOMISH,99,0.9994693994759407,0.9648187213077913,530895,WA
SPOKANE,99,0.9978886444309075,0.9682829685973199,366223,WA
STEVENS,99,0.9969773705460745,0.9542746117769462,34730,WA
THURSTON,99,0.9980664095456685,0.957296590316101,204439,WA
WAHKIAKUM,97,0.9934281798472091,0.646395798707126,3590,WA
WALLA WALLA,99,0.9935825622789226,0.9583276531703174,38388,WA
WHATCOM,99,0.9979642865003331,0.968097967823988,162764,WA
WHITMAN,99,0.9918596260481825,0.8530747661309716,26315,WA
YAKIMA,99,0.9854007591845872,0.8904164753067246,130905,WA
