county,max_age,r_count,r_rate,n_registered,state
BARBOUR,100,0.9950727325712545,0.854679806826585,9446,WV
BERKELEY,100,0.9958676714058312,0.812812678022592,75401,WV
BOONE,99,0.9907279707016883,0.7536420862159943,14210,WV
BRAXTON,99,0.9943948518075554,0.8220324004466916,8028,WV
BROOKE,100,0.984665719573393,0.8789499746383836,16944,WV
CABELL,100,0.9973102642844985,0.8169942774938754,53063,WV
CALHOUN,99,0.9843200968707024,0.7295051406824693,4430,WV
CLAY,100,0.9836833401894517,0.7667962759124949,5217,WV
DODDRIDGE,99,0.9886720432368762,0.7362203237704167,4335,WV
FAYETTE,100,0.9899329457417108,0.8691749914576956,26488,WV
GILMER,99,0.9751243738916476,0.804317592499351,4191,WV
GRANT,100,0.9896692132989868,0.6189861715433745,7236,WV
GREENBRIER,100,0.995881017922514,0.9202472166795974,21761,WV
HAMPSHIRE,99,0.9954204949553649,0.8111545002991656,13021,WV
HANCOCK,100,0.9913464980872455,0.922225551179329,21442,WV
HARDY,99,0.9942224187886435,0.7830217574473376,8360,WV
HARRISON,100,0.9981242928089512,0.8916133039106804,43060,WV
JACKSON,99,0.9973077098434656,0.9498283128635443,18641,WV
JEFFERSON,99,0.9939766323106664,0.9244411827094023,37739,WV
KANAWHA,100,0.9985192877834201,0.8110612347966861,118356,WV
LEWIS,99,0.9944313997187817,0.8677963349626943,10077,WV
LINCOLN,98,0.9931520831475759,0.6582257213880508,11185,WV
LOGAN,99,0.9904545795811698,0.828177614547737,23601,WV
MARION,100,0.9971781700414881,0.8387926699813928,37692,WV
MARSHALL,100,0.9971614616826179,0.851191181095194,19633,WV
MASON,100,0.9956486946512264,0.9160454040374362,17262,WV
MCDOWELL,100,0.9843866797006408,0.898791844308147,13774,WV
MERCER,100,0.9941520671835555,0.8758117740572616,38620,WV
MINERAL,100,0.99364400678188,0.8279107917118249,17129,WV
MINGO,100,0.9888751069272551,0.8330004153231897,18821,WV
MONONGALIA,100,0.9802143090559043,0.86773303096434,65387,WV
MONROE,99,0.9897850812392094,0.7920633199453002,8699,WV
MORGAN,100,0.9947981946709684,0.7528975980520113,12685,WV
NICHOLAS,99,0.9873888069834806,0.6249328923116243,14346,WV
OHIO,100,0.9953007436684614,0.8101557590640667,27869,WV
PENDLETON,100,0.9897843796223548,0.6293801065379047,4897,WV
PLEASANTS,99,0.9911503581954825,0.8212131274586755,4908,WV
POCAHONTAS,99,0.9923857939002378,0.8077389763065994,5309,WV
PRESTON,99,0.9936083250213597,0.7404136274178061,18996,WV
PUTNAM,100,0.992620387397214,0.6472110489427769,37530,WV
RALEIGH,100,0.9973201853058137,0.8432271713774513,49410,WV
RANDOLPH,100,0.9939240400470726,0.8056438634219958,17957,WV
RITCHIE,99,0.9866662824489302,0.7763541973070969,5775,WV
ROANE,99,0.9913860601866539,0.8133824371392807,8304,WV
SUMMERS,100,0.9908340427229142,0.7458243381635591,8640,WV
TAYLOR,99,0.9937694531624283,0.811404158338231,10462,WV
TUCKER,99,0.9881548972493657,0.825625097550501,5302,WV
TYLER,100,0.9839538127586043,0.7488843341947113,6041,WV
UPSHUR,100,0.994294709063927,0.7583585465453159,13732,WV
WAYNE,100,0.9957625839814405,0.7998588985766099,25688,WV
WEBSTER,99,0.9903684785915069,0.7809237961972892,5058,WV
WETZEL,100,0.9945812135479932,0.8673572923360028,9507,WV
WIRT,99,0.9824979942278779,0.722267842472313,4104,WV
WOOD,100,0.9986023589541648,0.8555641902611549,53146,WV
WYOMING,99,0.9787054600000429,0.6634981960169433,16014,WV
